trial,sites(stage:symbol:component:bit;...)
119,2:4:1:9;10:5:1:2
120,3:3:0:15;7:1:0:29
121,6:0:0:27;1:2:0:34
122,5:4:0:33;4:5:0:24
123,2:3:1:26;10:1:1:3
124,3:0:1:25;7:2:1:28
125,6:4:1:14;1:5:1:21
126,5:3:0:7;4:1:0:1
127,2:0:0:4;10:2:0:31
128,3:4:0:8;7:5:0:11
129,6:3:1:18;1:1:1:12
130,5:0:1:5;4:2:1:0
131,2:4:1:17;10:5:1:16
132,3:3:0:19;7:1:0:10
133,6:0:0:6;1:2:0:30
134,5:4:0:20;4:5:0:23
135,2:3:1:13;10:1:1:32
136,3:0:1:22;7:2:1:9
137,6:4:1:2;1:5:1:15
138,5:3:0:29;4:1:0:27
139,2:0:0:34;10:2:0:33
140,3:4:0:24;7:5:0:26
141,6:3:1:3;1:1:1:25
142,5:0:1:28;4:2:1:14
143,2:4:1:21;10:5:1:7
144,3:3:0:1;7:1:0:4
145,6:0:0:31;1:2:0:8
146,5:4:0:11;4:5:0:18
147,2:3:1:12;10:1:1:5
148,3:0:1:0;7:2:1:17
149,6:4:1:16;1:5:1:19
150,5:3:0:10;4:1:0:6
151,2:0:0:30;10:2:0:20
152,3:4:0:23;7:5:0:13
153,6:3:1:32;1:1:1:22
154,5:0:1:9;4:2:1:2
155,2:4:1:15;10:5:1:29
156,3:3:0:27;7:1:0:34
157,6:0:0:33;1:2:0:24
158,5:4:0:26;4:5:0:3
159,2:3:1:25;10:1:1:28
160,3:0:1:14;7:2:1:21
161,6:4:1:7;1:5:1:1
162,5:3:0:4;4:1:0:31
163,2:0:0:8;10:2:0:11
164,3:4:0:18;7:5:0:12
165,6:3:1:5;1:1:1:0
166,5:0:1:17;4:2:1:16
167,2:4:1:19;10:5:1:10
168,3:3:0:6;7:1:0:30
169,6:0:0:20;1:2:0:23
170,5:4:0:13;4:5:0:32
171,2:3:1:22;10:1:1:9
172,3:0:1:2;7:2:1:15
173,6:4:1:29;1:5:1:27
174,5:3:0:34;4:1:0:33
175,2:0:0:24;10:2:0:26
176,3:4:0:3;7:5:0:25
177,6:3:1:28;1:1:1:14
178,5:0:1:21;4:2:1:7
179,2:4:1:1;10:5:1:4
180,3:3:0:31;7:1:0:8
181,6:0:0:11;1:2:0:18
182,5:4:0:12;4:5:0:5
183,2:3:1:0;10:1:1:17
184,3:0:1:16;7:2:1:19
185,6:4:1:10;1:5:1:6
186,5:3:0:30;4:1:0:20
187,2:0:0:23;10:2:0:13
188,3:4:0:32;7:5:0:22
189,6:3:1:9;1:1:1:2
190,5:0:1:15;4:2:1:29
191,2:4:1:27;10:5:1:34
192,3:3:0:33;7:1:0:24
193,6:0:0:26;1:2:0:3
194,5:4:0:25;4:5:0:28
195,2:3:1:14;10:1:1:21
196,3:0:1:7;7:2:1:1
197,6:4:1:4;1:5:1:31
198,5:3:0:8;4:1:0:11
199,2:0:0:18;10:2:0:12
200,3:4:0:5;7:5:0:0
201,6:3:1:17;1:1:1:16
202,5:0:1:19;4:2:1:10
203,2:4:1:6;10:5:1:30
204,3:3:0:20;7:1:0:23
205,6:0:0:13;1:2:0:32
206,5:4:0:22;4:5:0:9
207,2:3:1:2;10:1:1:15
208,3:0:1:29;7:2:1:27
209,6:4:1:34;1:5:1:33
210,5:3:0:24;4:1:0:26
211,2:0:0:3;10:2:0:25
212,3:4:0:28;7:5:0:14
213,6:3:1:21;1:1:1:7
214,5:0:1:1;4:2:1:4
215,2:4:1:31;10:5:1:8
216,3:3:0:11;7:1:0:18
217,6:0:0:12;1:2:0:5
218,5:4:0:0;4:5:0:17
219,2:3:1:16;10:1:1:19
220,3:0:1:10;7:2:1:6
221,6:4:1:30;1:5:1:20
222,5:3:0:23;4:1:0:13
223,2:0:0:32;10:2:0:22
224,3:4:0:9;7:5:0:2
225,6:3:1:15;1:1:1:29
226,5:0:1:27;4:2:1:34
227,2:4:1:33;10:5:1:24
228,3:3:0:26;7:1:0:3
229,6:0:0:25;1:2:0:28
230,5:4:0:14;4:5:0:21
231,2:3:1:7;10:1:1:1
232,3:0:1:4;7:2:1:31
233,6:4:1:8;1:5:1:11
234,5:3:0:18;4:1:0:12
235,2:0:0:5;10:2:0:0
236,3:4:0:17;7:5:0:16
237,6:3:1:19;1:1:1:10
238,5:0:1:6;4:2:1:30
239,2:4:1:20;10:5:1:23
240,3:3:0:13;7:1:0:32
241,6:0:0:22;1:2:0:9
242,5:4:0:2;4:5:0:15
243,2:3:1:29;10:1:1:27
244,3:0:1:34;7:2:1:33
245,6:4:1:24;1:5:1:26
246,5:3:0:3;4:1:0:25
247,2:0:0:28;10:2:0:14
248,3:4:0:21;7:5:0:7
249,6:3:1:1;1:1:1:4
250,5:0:1:31;4:2:1:8
251,2:4:1:11;10:5:1:18
252,3:3:0:12;7:1:0:5
253,6:0:0:0;1:2:0:17
254,5:4:0:16;4:5:0:19
255,2:3:1:10;10:1:1:6
256,3:0:1:30;7:2:1:20
257,6:4:1:23;1:5:1:13
258,5:3:0:32;4:1:0:22
259,2:0:0:9;10:2:0:2
260,3:4:0:15;7:5:0:29
261,6:3:1:27;1:1:1:34
262,5:0:1:33;4:2:1:24
263,2:4:1:26;10:5:1:3
264,3:3:0:25;7:1:0:28
265,6:0:0:14;1:2:0:21
266,5:4:0:7;4:5:0:1
267,2:3:1:4;10:1:1:31
268,3:0:1:8;7:2:1:11
269,6:4:1:18;1:5:1:12
270,5:3:0:5;4:1:0:0
271,2:0:0:17;10:2:0:16
272,3:4:0:19;7:5:0:10
273,6:3:1:6;1:1:1:30
274,5:0:1:20;4:2:1:23
275,2:4:1:13;10:5:1:32
276,3:3:0:22;7:1:0:9
277,6:0:0:2;1:2:0:15
278,5:4:0:29;4:5:0:27
279,2:3:1:34;10:1:1:33
280,3:0:1:24;7:2:1:26
281,6:4:1:3;1:5:1:25
282,5:3:0:28;4:1:0:14
283,2:0:0:21;10:2:0:7
284,3:4:0:1;7:5:0:4
285,6:3:1:31;1:1:1:8
286,5:0:1:11;4:2:1:18
287,2:4:1:12;10:5:1:5
288,3:3:0:0;7:1:0:17
289,6:0:0:16;1:2:0:19
290,5:4:0:10;4:5:0:6
291,2:3:1:30;10:1:1:20
292,3:0:1:23;7:2:1:13
293,6:4:1:32;1:5:1:22
294,5:3:0:9;4:1:0:2
295,2:0:0:15;10:2:0:29
296,3:4:0:27;7:5:0:34
297,6:3:1:33;1:1:1:24
298,5:0:1:26;4:2:1:3
299,2:4:1:25;10:5:1:28
300,3:3:0:14;7:1:0:21
301,6:0:0:7;1:2:0:1
302,5:4:0:4;4:5:0:31
303,2:3:1:8;10:1:1:11
304,3:0:1:18;7:2:1:12
305,6:4:1:5;1:5:1:0
306,5:3:0:17;4:1:0:16
307,2:0:0:19;10:2:0:10
308,3:4:0:6;7:5:0:30
309,6:3:1:20;1:1:1:23
310,5:0:1:13;4:2:1:32
311,2:4:1:22;10:5:1:9
312,3:3:0:2;7:1:0:15
313,6:0:0:29;1:2:0:27
314,5:4:0:34;4:5:0:33
315,2:3:1:24;10:1:1:26
316,3:0:1:3;7:2:1:25
317,6:4:1:28;1:5:1:14
318,5:3:0:21;4:1:0:7
319,2:0:0:1;10:2:0:4
320,3:4:0:31;7:5:0:8
321,6:3:1:11;1:1:1:18
322,5:0:1:12;4:2:1:5
323,2:4:1:0;10:5:1:17
324,3:3:0:16;7:1:0:19
325,6:0:0:10;1:2:0:6
326,5:4:0:30;4:5:0:20
327,2:3:1:23;10:1:1:13
328,3:0:1:32;7:2:1:22
329,6:4:1:9;1:5:1:2
330,5:3:0:15;4:1:0:29
331,2:0:0:27;10:2:0:34
332,3:4:0:33;7:5:0:24
333,6:3:1:26;1:1:1:3
334,5:0:1:25;4:2:1:28
335,2:4:1:14;10:5:1:21
336,3:3:0:7;7:1:0:1
337,6:0:0:4;1:2:0:31
338,5:4:0:8;4:5:0:11
339,2:3:1:18;10:1:1:12
340,3:0:1:5;7:2:1:0
341,6:4:1:17;1:5:1:16
342,5:3:0:19;4:1:0:10
343,2:0:0:6;10:2:0:30
344,3:4:0:20;7:5:0:23
345,6:3:1:13;1:1:1:32
346,5:0:1:22;4:2:1:9
347,2:4:1:2;10:5:1:15
348,3:3:0:29;7:1:0:27
349,6:0:0:34;1:2:0:33
350,5:4:0:24;4:5:0:26
351,2:3:1:3;10:1:1:25
352,3:0:1:28;7:2:1:14
353,6:4:1:21;1:5:1:7
354,5:3:0:1;4:1:0:4
355,2:0:0:31;10:2:0:8
356,3:4:0:11;7:5:0:18
357,6:3:1:12;1:1:1:5
358,5:0:1:0;4:2:1:17
359,2:4:1:16;10:5:1:19
360,3:3:0:10;7:1:0:6
361,6:0:0:30;1:2:0:20
362,5:4:0:23;4:5:0:13
363,2:3:1:32;10:1:1:22
364,3:0:1:9;7:2:1:2
365,6:4:1:15;1:5:1:29
366,5:3:0:27;4:1:0:34
367,2:0:0:33;10:2:0:24
368,3:4:0:26;7:5:0:3
369,6:3:1:25;1:1:1:28
370,5:0:1:14;4:2:1:21
371,2:4:1:7;10:5:1:1
372,3:3:0:4;7:1:0:31
373,6:0:0:8;1:2:0:11
374,5:4:0:18;4:5:0:12
375,2:3:1:5;10:1:1:0
376,3:0:1:17;7:2:1:16
377,6:4:1:19;1:5:1:10
378,5:3:0:6;4:1:0:30
379,2:0:0:20;10:2:0:23
380,3:4:0:13;7:5:0:32
381,6:3:1:22;1:1:1:9
382,5:0:1:2;4:2:1:15
383,2:4:1:29;10:5:1:27
384,3:3:0:34;7:1:0:33
385,6:0:0:24;1:2:0:26
386,5:4:0:3;4:5:0:25
387,2:3:1:28;10:1:1:14
388,3:0:1:21;7:2:1:7
389,6:4:1:1;1:5:1:4
390,5:3:0:31;4:1:0:8
391,2:0:0:11;10:2:0:18
392,3:4:0:12;7:5:0:5
393,6:3:1:0;1:1:1:17
394,5:0:1:16;4:2:1:19
395,2:4:1:10;10:5:1:6
396,3:3:0:30;7:1:0:20
397,6:0:0:23;1:2:0:13
398,5:4:0:32;4:5:0:22
399,2:3:1:9;10:1:1:2
400,3:0:1:15;7:2:1:29
401,6:4:1:27;1:5:1:34
402,5:3:0:33;4:1:0:24
403,2:0:0:26;10:2:0:3
404,3:4:0:25;7:5:0:28
405,6:3:1:14;1:1:1:21
406,5:0:1:7;4:2:1:1
407,2:4:1:4;10:5:1:31
408,3:3:0:8;7:1:0:11
409,6:0:0:18;1:2:0:12
410,5:4:0:5;4:5:0:0
411,2:3:1:17;10:1:1:16
412,3:0:1:19;7:2:1:10
413,6:4:1:6;1:5:1:30
414,5:3:0:20;4:1:0:23
415,2:0:0:13;10:2:0:32
416,3:4:0:22;7:5:0:9
417,6:3:1:2;1:1:1:15
418,5:0:1:29;4:2:1:27
419,2:4:1:34;10:5:1:33
420,3:3:0:24;7:1:0:26
421,6:0:0:3;1:2:0:25
422,5:4:0:28;4:5:0:14
423,2:3:1:21;10:1:1:7
424,3:0:1:1;7:2:1:4
425,6:4:1:31;1:5:1:8
426,5:3:0:11;4:1:0:18
427,2:0:0:12;10:2:0:5
428,3:4:0:0;7:5:0:17
429,6:3:1:16;1:1:1:19
430,5:0:1:10;4:2:1:6
431,2:4:1:30;10:5:1:20
432,3:3:0:23;7:1:0:13
433,6:0:0:32;1:2:0:22
434,5:4:0:9;4:5:0:2
435,2:3:1:15;10:1:1:29
436,3:0:1:27;7:2:1:34
437,6:4:1:33;1:5:1:24
438,5:3:0:26;4:1:0:3
439,2:0:0:25;10:2:0:28
440,3:4:0:14;7:5:0:21
441,6:3:1:7;1:1:1:1
442,5:0:1:4;4:2:1:31
443,2:4:1:8;10:5:1:11
444,3:3:0:18;7:1:0:12
445,6:0:0:5;1:2:0:0
446,5:4:0:17;4:5:0:16
447,2:3:1:19;10:1:1:10
448,3:0:1:6;7:2:1:30
449,6:4:1:20;1:5:1:23
450,5:3:0:13;4:1:0:32
451,2:0:0:22;10:2:0:9
452,3:4:0:2;7:5:0:15
453,6:3:1:29;1:1:1:27
454,5:0:1:34;4:2:1:33
455,2:4:1:24;10:5:1:26
456,3:3:0:3;7:1:0:25
457,6:0:0:28;1:2:0:14
458,5:4:0:21;4:5:0:7
459,2:3:1:1;10:1:1:4
460,3:0:1:31;7:2:1:8
461,6:4:1:11;1:5:1:18
462,5:3:0:12;4:1:0:5
463,2:0:0:0;10:2:0:17
464,3:4:0:16;7:5:0:19
465,6:3:1:10;1:1:1:6
466,5:0:1:30;4:2:1:20
467,2:4:1:23;10:5:1:13
468,3:3:0:32;7:1:0:22
469,6:0:0:9;1:2:0:2
470,5:4:0:15;4:5:0:29
471,2:3:1:27;10:1:1:34
472,3:0:1:33;7:2:1:24
473,6:4:1:26;1:5:1:3
474,5:3:0:25;4:1:0:28
475,2:0:0:14;10:2:0:21
476,3:4:0:7;7:5:0:1
477,6:3:1:4;1:1:1:31
478,5:0:1:8;4:2:1:11
479,2:4:1:18;10:5:1:12
480,3:3:0:5;7:1:0:0
481,6:0:0:17;1:2:0:16
482,5:4:0:19;4:5:0:10
483,2:3:1:6;10:1:1:30
484,3:0:1:20;7:2:1:23
485,6:4:1:13;1:5:1:32
486,5:3:0:22;4:1:0:9
487,2:0:0:2;10:2:0:15
488,3:4:0:29;7:5:0:27
489,6:3:1:34;1:1:1:33
490,5:0:1:24;4:2:1:26
491,2:4:1:3;10:5:1:25
492,3:3:0:28;7:1:0:14
493,6:0:0:21;1:2:0:7
494,5:4:0:1;4:5:0:4
495,2:3:1:31;10:1:1:8
496,3:0:1:11;7:2:1:18
497,6:4:1:12;1:5:1:5
498,5:3:0:0;4:1:0:17
499,2:0:0:16;10:2:0:19
