stage,path,component,bit,category
4,4,real,1,silent_bounded_residual
4,4,real,2,silent_bounded_residual
4,4,imag,0,silent_bounded_residual
4,4,imag,1,silent_bounded_residual
4,4,imag,2,silent_bounded_residual
4,5,real,0,silent_bounded_residual
4,5,real,1,silent_bounded_residual
4,5,real,2,silent_bounded_residual
4,5,imag,0,silent_bounded_residual
4,5,imag,1,silent_bounded_residual
4,5,imag,2,silent_bounded_residual
4,6,real,0,silent_bounded_residual
4,6,real,1,silent_bounded_residual
4,6,real,2,silent_bounded_residual
4,6,imag,0,silent_bounded_residual
4,6,imag,1,silent_bounded_residual
4,6,imag,2,silent_bounded_residual
5,0,real,0,silent_bounded_residual
5,0,real,1,silent_bounded_residual
5,0,real,2,silent_bounded_residual
5,0,real,3,silent_bounded_residual
5,0,imag,0,silent_bounded_residual
5,0,imag,1,silent_bounded_residual
5,0,imag,2,silent_bounded_residual
5,0,imag,3,silent_bounded_residual
5,1,real,0,silent_bounded_residual
5,1,real,1,silent_bounded_residual
5,1,real,2,silent_bounded_residual
5,1,real,3,silent_bounded_residual
5,1,imag,0,silent_bounded_residual
5,1,imag,1,silent_bounded_residual
5,1,imag,2,silent_bounded_residual
5,1,imag,3,silent_bounded_residual
5,2,real,0,silent_bounded_residual
5,2,real,1,silent_bounded_residual
5,2,real,2,silent_unbounded
5,2,real,3,silent_bounded_residual
5,2,imag,0,silent_bounded_residual
5,2,imag,1,silent_bounded_residual
5,2,imag,2,silent_unbounded
5,2,imag,3,silent_bounded_residual
5,3,real,0,silent_bounded_residual
5,3,real,1,silent_bounded_residual
5,3,real,2,silent_bounded_residual
5,3,real,3,silent_bounded_residual
5,3,imag,0,silent_bounded_residual
5,3,imag,1,silent_bounded_residual
5,3,imag,2,silent_bounded_residual
5,3,imag,3,silent_bounded_residual
5,4,real,0,silent_unbounded
5,4,real,1,silent_unbounded
5,4,real,2,silent_unbounded
5,4,real,3,silent_bounded_residual
5,4,imag,0,silent_bounded_residual
5,4,imag,1,silent_bounded_residual
5,4,imag,2,silent_unbounded
5,4,imag,3,silent_bounded_residual
5,5,real,0,silent_unbounded
5,5,real,1,silent_unbounded
5,5,real,2,silent_unbounded
5,5,real,3,silent_bounded_residual
5,5,imag,0,silent_bounded_residual
5,5,imag,1,silent_unbounded
5,5,imag,2,silent_unbounded
5,5,imag,3,silent_bounded_residual
5,6,real,0,silent_unbounded
5,6,real,1,silent_unbounded
5,6,real,2,silent_unbounded
5,6,real,3,silent_bounded_residual
5,6,imag,0,silent_bounded_residual
5,6,imag,1,silent_unbounded
5,6,imag,2,silent_unbounded
5,6,imag,3,silent_bounded_residual
6,0,real,0,silent_bounded_residual
6,0,real,1,silent_bounded_residual
6,0,real,2,silent_bounded_residual
6,0,real,3,silent_bounded_residual
6,0,imag,0,silent_bounded_residual
6,0,imag,1,silent_bounded_residual
6,0,imag,2,silent_bounded_residual
6,0,imag,3,silent_bounded_residual
6,1,real,0,silent_bounded_residual
6,1,real,1,silent_bounded_residual
6,1,real,2,silent_bounded_residual
6,1,real,3,silent_bounded_residual
6,1,imag,0,silent_bounded_residual
6,1,imag,1,silent_bounded_residual
6,1,imag,2,silent_bounded_residual
6,1,imag,3,silent_bounded_residual
6,2,real,0,silent_bounded_residual
6,2,real,1,silent_unbounded
6,2,real,2,silent_unbounded
6,2,real,3,silent_unbounded
6,2,real,4,MISCORRECTION
6,2,imag,0,silent_bounded_residual
6,2,imag,1,silent_unbounded
6,2,imag,2,silent_unbounded
6,2,imag,3,silent_unbounded
6,2,imag,4,MISCORRECTION
6,3,real,0,silent_bounded_residual
6,3,real,1,silent_bounded_residual
6,3,real,2,silent_bounded_residual
6,3,real,3,silent_bounded_residual
6,3,imag,0,silent_bounded_residual
6,3,imag,1,silent_bounded_residual
6,3,imag,2,silent_bounded_residual
6,3,imag,3,silent_bounded_residual
6,4,real,0,silent_unbounded
6,4,real,1,silent_unbounded
6,4,real,2,silent_unbounded
6,4,real,3,silent_unbounded
6,4,real,4,MISCORRECTION
6,4,imag,0,silent_bounded_residual
6,4,imag,1,silent_unbounded
6,4,imag,2,silent_unbounded
6,4,imag,3,silent_unbounded
6,4,imag,4,MISCORRECTION
6,5,real,0,silent_unbounded
6,5,real,1,silent_unbounded
6,5,real,2,silent_unbounded
6,5,real,3,silent_unbounded
6,5,real,4,MISCORRECTION
6,5,imag,0,silent_bounded_residual
6,5,imag,1,silent_unbounded
6,5,imag,2,silent_unbounded
6,5,imag,3,silent_unbounded
6,5,imag,4,MISCORRECTION
6,6,real,0,silent_unbounded
6,6,real,1,silent_unbounded
6,6,real,2,silent_unbounded
6,6,real,3,silent_unbounded
6,6,real,4,MISCORRECTION
6,6,imag,0,silent_bounded_residual
6,6,imag,1,silent_unbounded
6,6,imag,2,silent_unbounded
6,6,imag,3,silent_unbounded
6,6,imag,4,MISCORRECTION
7,0,real,0,silent_bounded_residual
7,0,real,1,silent_bounded_residual
7,0,real,2,silent_bounded_residual
7,0,real,3,silent_bounded_residual
7,0,imag,0,silent_bounded_residual
7,0,imag,1,silent_bounded_residual
7,0,imag,2,silent_bounded_residual
7,0,imag,3,silent_bounded_residual
7,1,real,0,silent_bounded_residual
7,1,real,1,silent_bounded_residual
7,1,real,2,silent_bounded_residual
7,1,real,3,silent_bounded_residual
7,1,imag,0,silent_bounded_residual
7,1,imag,1,silent_bounded_residual
7,1,imag,2,silent_bounded_residual
7,1,imag,3,silent_bounded_residual
7,2,real,0,silent_bounded_residual
7,2,real,1,silent_bounded_residual
7,2,real,2,silent_unbounded
7,2,real,3,silent_unbounded
7,2,imag,0,silent_bounded_residual
7,2,imag,1,silent_bounded_residual
7,2,imag,2,silent_unbounded
7,2,imag,3,silent_unbounded
7,3,real,0,silent_bounded_residual
7,3,real,1,silent_bounded_residual
7,3,real,2,silent_bounded_residual
7,3,real,3,silent_bounded_residual
7,3,imag,0,silent_bounded_residual
7,3,imag,1,silent_bounded_residual
7,3,imag,2,silent_bounded_residual
7,3,imag,3,silent_bounded_residual
7,4,real,0,silent_unbounded
7,4,real,1,silent_unbounded
7,4,real,2,silent_unbounded
7,4,real,3,silent_unbounded
7,4,imag,0,silent_bounded_residual
7,4,imag,1,silent_bounded_residual
7,4,imag,2,silent_unbounded
7,4,imag,3,silent_unbounded
7,5,real,0,silent_unbounded
7,5,real,1,silent_unbounded
7,5,real,2,silent_unbounded
7,5,real,3,silent_unbounded
7,5,imag,0,silent_bounded_residual
7,5,imag,1,silent_unbounded
7,5,imag,2,silent_unbounded
7,5,imag,3,silent_unbounded
7,6,real,0,silent_unbounded
7,6,real,1,silent_unbounded
7,6,real,2,silent_unbounded
7,6,real,3,silent_unbounded
7,6,imag,0,silent_unbounded
7,6,imag,1,silent_unbounded
7,6,imag,2,silent_unbounded
7,6,imag,3,silent_unbounded
8,0,real,0,silent_bounded_residual
8,0,real,1,silent_bounded_residual
8,0,real,2,silent_bounded_residual
8,0,imag,0,silent_bounded_residual
8,0,imag,1,silent_bounded_residual
8,0,imag,2,silent_bounded_residual
8,1,real,0,silent_bounded_residual
8,1,real,1,silent_bounded_residual
8,1,real,2,silent_bounded_residual
8,1,imag,0,silent_bounded_residual
8,1,imag,1,silent_bounded_residual
8,1,imag,2,silent_bounded_residual
8,2,real,0,silent_bounded_residual
8,2,real,1,silent_bounded_residual
8,2,real,2,silent_unbounded
8,2,imag,0,silent_bounded_residual
8,2,imag,1,silent_bounded_residual
8,2,imag,2,silent_unbounded
8,3,real,0,silent_bounded_residual
8,3,real,1,silent_bounded_residual
8,3,real,2,silent_bounded_residual
8,3,imag,0,silent_bounded_residual
8,3,imag,1,silent_bounded_residual
8,3,imag,2,silent_bounded_residual
8,4,real,0,silent_unbounded
8,4,real,1,silent_unbounded
8,4,real,2,silent_unbounded
8,4,imag,0,silent_bounded_residual
8,4,imag,1,silent_bounded_residual
8,4,imag,2,silent_unbounded
8,5,real,0,silent_unbounded
8,5,real,1,silent_unbounded
8,5,real,2,silent_unbounded
8,5,imag,0,silent_unbounded
8,5,imag,1,silent_unbounded
8,5,imag,2,silent_unbounded
8,6,real,0,silent_unbounded
8,6,real,1,silent_unbounded
8,6,real,2,silent_unbounded
8,6,imag,0,silent_unbounded
8,6,imag,1,silent_unbounded
8,6,imag,2,silent_unbounded
