trial,sites(stage:symbol:component:bit;...)
81,10:1:1:21;7:4:1:34;1:0:1:8;3:2:0:17;6:3:0:5
82,5:5:0:19;2:1:0:31;4:4:0:29;10:0:0:14;7:2:1:15
83,1:3:1:33;3:5:1:0;6:1:1:28;5:4:1:13;2:0:1:7
84,4:2:0:23;10:3:0:6;7:5:0:9;1:1:0:24;3:4:0:25
85,6:0:0:10;5:2:1:4;2:3:1:26;4:5:1:20;10:1:1:11
86,7:4:1:1;1:0:1:16;3:2:0:2;6:3:0:22;5:5:0:27
87,2:1:0:30;4:4:0:12;10:0:0:32;7:2:1:18;1:3:1:3
88,3:5:1:21;6:1:1:34;5:4:1:8;2:0:1:17;4:2:0:5
89,10:3:0:19;7:5:0:31;1:1:0:29;3:4:0:14;6:0:0:15
90,5:2:1:33;2:3:1:0;4:5:1:28;10:1:1:13;7:4:1:7
91,1:0:1:23;3:2:0:6;6:3:0:9;5:5:0:24;2:1:0:25
92,4:4:0:10;10:0:0:4;7:2:1:26;1:3:1:20;3:5:1:11
93,6:1:1:1;5:4:1:16;2:0:1:2;4:2:0:22;10:3:0:27
94,7:5:0:30;1:1:0:12;3:4:0:32;6:0:0:18;5:2:1:3
95,2:3:1:21;4:5:1:34;10:1:1:8;7:4:1:17;1:0:1:5
96,3:2:0:19;6:3:0:31;5:5:0:29;2:1:0:14;4:4:0:15
97,10:0:0:33;7:2:1:0;1:3:1:28;3:5:1:13;6:1:1:7
98,5:4:1:23;2:0:1:6;4:2:0:9;10:3:0:24;7:5:0:25
99,1:1:0:10;3:4:0:4;6:0:0:26;5:2:1:20;2:3:1:11
100,4:5:1:1;10:1:1:16;7:4:1:2;1:0:1:22;3:2:0:27
101,6:3:0:30;5:5:0:12;2:1:0:32;4:4:0:18;10:0:0:3
102,7:2:1:21;1:3:1:34;3:5:1:8;6:1:1:17;5:4:1:5
103,2:0:1:19;4:2:0:31;10:3:0:29;7:5:0:14;1:1:0:15
104,3:4:0:33;6:0:0:0;5:2:1:28;2:3:1:13;4:5:1:7
105,10:1:1:23;7:4:1:6;1:0:1:9;3:2:0:24;6:3:0:25
106,5:5:0:10;2:1:0:4;4:4:0:26;10:0:0:20;7:2:1:11
107,1:3:1:1;3:5:1:16;6:1:1:2;5:4:1:22;2:0:1:27
108,4:2:0:30;10:3:0:12;7:5:0:32;1:1:0:18;3:4:0:3
109,6:0:0:21;5:2:1:34;2:3:1:8;4:5:1:17;10:1:1:5
110,7:4:1:19;1:0:1:31;3:2:0:29;6:3:0:14;5:5:0:15
111,2:1:0:33;4:4:0:0;10:0:0:28;7:2:1:13;1:3:1:7
112,3:5:1:23;6:1:1:6;5:4:1:9;2:0:1:24;4:2:0:25
113,10:3:0:10;7:5:0:4;1:1:0:26;3:4:0:20;6:0:0:11
114,5:2:1:1;2:3:1:16;4:5:1:2;10:1:1:22;7:4:1:27
115,1:0:1:30;3:2:0:12;6:3:0:32;5:5:0:18;2:1:0:3
116,4:4:0:21;10:0:0:34;7:2:1:8;1:3:1:17;3:5:1:5
117,6:1:1:19;5:4:1:31;2:0:1:29;4:2:0:14;10:3:0:15
118,7:5:0:33;1:1:0:0;3:4:0:28;6:0:0:13;5:2:1:7
119,2:3:1:23;4:5:1:6;10:1:1:9;7:4:1:24;1:0:1:25
120,3:2:0:10;6:3:0:4;5:5:0:26;2:1:0:20;4:4:0:11
121,10:0:0:1;7:2:1:16;1:3:1:2;3:5:1:22;6:1:1:27
122,5:4:1:30;2:0:1:12;4:2:0:32;10:3:0:18;7:5:0:3
123,1:1:0:21;3:4:0:34;6:0:0:8;5:2:1:17;2:3:1:5
124,4:5:1:19;10:1:1:31;7:4:1:29;1:0:1:14;3:2:0:15
125,6:3:0:33;5:5:0:0;2:1:0:28;4:4:0:13;10:0:0:7
126,7:2:1:23;1:3:1:6;3:5:1:9;6:1:1:24;5:4:1:25
127,2:0:1:10;4:2:0:4;10:3:0:26;7:5:0:20;1:1:0:11
128,3:4:0:1;6:0:0:16;5:2:1:2;2:3:1:22;4:5:1:27
129,10:1:1:30;7:4:1:12;1:0:1:32;3:2:0:18;6:3:0:3
130,5:5:0:21;2:1:0:34;4:4:0:8;10:0:0:17;7:2:1:5
131,1:3:1:19;3:5:1:31;6:1:1:29;5:4:1:14;2:0:1:15
132,4:2:0:33;10:3:0:0;7:5:0:28;1:1:0:13;3:4:0:7
133,6:0:0:23;5:2:1:6;2:3:1:9;4:5:1:24;10:1:1:25
134,7:4:1:10;1:0:1:4;3:2:0:26;6:3:0:20;5:5:0:11
135,2:1:0:1;4:4:0:16;10:0:0:2;7:2:1:22;1:3:1:27
136,3:5:1:30;6:1:1:12;5:4:1:32;2:0:1:18;4:2:0:3
137,10:3:0:21;7:5:0:34;1:1:0:8;3:4:0:17;6:0:0:5
138,5:2:1:19;2:3:1:31;4:5:1:29;10:1:1:14;7:4:1:15
139,1:0:1:33;3:2:0:0;6:3:0:28;5:5:0:13;2:1:0:7
140,4:4:0:23;10:0:0:6;7:2:1:9;1:3:1:24;3:5:1:25
141,6:1:1:10;5:4:1:4;2:0:1:26;4:2:0:20;10:3:0:11
142,7:5:0:1;1:1:0:16;3:4:0:2;6:0:0:22;5:2:1:27
143,2:3:1:30;4:5:1:12;10:1:1:32;7:4:1:18;1:0:1:3
144,3:2:0:21;6:3:0:34;5:5:0:8;2:1:0:17;4:4:0:5
145,10:0:0:19;7:2:1:31;1:3:1:29;3:5:1:14;6:1:1:15
146,5:4:1:33;2:0:1:0;4:2:0:28;10:3:0:13;7:5:0:7
147,1:1:0:23;3:4:0:6;6:0:0:9;5:2:1:24;2:3:1:25
148,4:5:1:10;10:1:1:4;7:4:1:26;1:0:1:20;3:2:0:11
149,6:3:0:1;5:5:0:16;2:1:0:2;4:4:0:22;10:0:0:27
150,7:2:1:30;1:3:1:12;3:5:1:32;6:1:1:18;5:4:1:3
151,2:0:1:21;4:2:0:34;10:3:0:8;7:5:0:17;1:1:0:5
152,3:4:0:19;6:0:0:31;5:2:1:29;2:3:1:14;4:5:1:15
153,10:1:1:33;7:4:1:0;1:0:1:28;3:2:0:13;6:3:0:7
154,5:5:0:23;2:1:0:6;4:4:0:9;10:0:0:24;7:2:1:25
155,1:3:1:10;3:5:1:4;6:1:1:26;5:4:1:20;2:0:1:11
156,4:2:0:1;10:3:0:16;7:5:0:2;1:1:0:22;3:4:0:27
157,6:0:0:30;5:2:1:12;2:3:1:32;4:5:1:18;10:1:1:3
158,7:4:1:21;1:0:1:34;3:2:0:8;6:3:0:17;5:5:0:5
159,2:1:0:19;4:4:0:31;10:0:0:29;7:2:1:14;1:3:1:15
160,3:5:1:33;6:1:1:0;5:4:1:28;2:0:1:13;4:2:0:7
161,10:3:0:23;7:5:0:6;1:1:0:9;3:4:0:24;6:0:0:25
162,5:2:1:10;2:3:1:4;4:5:1:26;10:1:1:20;7:4:1:11
163,1:0:1:1;3:2:0:16;6:3:0:2;5:5:0:22;2:1:0:27
164,4:4:0:30;10:0:0:12;7:2:1:32;1:3:1:18;3:5:1:3
165,6:1:1:21;5:4:1:34;2:0:1:8;4:2:0:17;10:3:0:5
166,7:5:0:19;1:1:0:31;3:4:0:29;6:0:0:14;5:2:1:15
167,2:3:1:33;4:5:1:0;10:1:1:28;7:4:1:13;1:0:1:7
168,3:2:0:23;6:3:0:6;5:5:0:9;2:1:0:24;4:4:0:25
169,10:0:0:10;7:2:1:4;1:3:1:26;3:5:1:20;6:1:1:11
170,5:4:1:1;2:0:1:16;4:2:0:2;10:3:0:22;7:5:0:27
171,1:1:0:30;3:4:0:12;6:0:0:32;5:2:1:18;2:3:1:3
172,4:5:1:21;10:1:1:34;7:4:1:8;1:0:1:17;3:2:0:5
173,6:3:0:19;5:5:0:31;2:1:0:29;4:4:0:14;10:0:0:15
174,7:2:1:33;1:3:1:0;3:5:1:28;6:1:1:13;5:4:1:7
175,2:0:1:23;4:2:0:6;10:3:0:9;7:5:0:24;1:1:0:25
176,3:4:0:10;6:0:0:4;5:2:1:26;2:3:1:20;4:5:1:11
177,10:1:1:1;7:4:1:16;1:0:1:2;3:2:0:22;6:3:0:27
178,5:5:0:30;2:1:0:12;4:4:0:32;10:0:0:18;7:2:1:3
179,1:3:1:21;3:5:1:34;6:1:1:8;5:4:1:17;2:0:1:5
180,4:2:0:19;10:3:0:31;7:5:0:29;1:1:0:14;3:4:0:15
181,6:0:0:33;5:2:1:0;2:3:1:28;4:5:1:13;10:1:1:7
182,7:4:1:23;1:0:1:6;3:2:0:9;6:3:0:24;5:5:0:25
183,2:1:0:10;4:4:0:4;10:0:0:26;7:2:1:20;1:3:1:11
184,3:5:1:1;6:1:1:16;5:4:1:2;2:0:1:22;4:2:0:27
185,10:3:0:30;7:5:0:12;1:1:0:32;3:4:0:18;6:0:0:3
186,5:2:1:21;2:3:1:34;4:5:1:8;10:1:1:17;7:4:1:5
187,1:0:1:19;3:2:0:31;6:3:0:29;5:5:0:14;2:1:0:15
188,4:4:0:33;10:0:0:0;7:2:1:28;1:3:1:13;3:5:1:7
189,6:1:1:23;5:4:1:6;2:0:1:9;4:2:0:24;10:3:0:25
190,7:5:0:10;1:1:0:4;3:4:0:26;6:0:0:20;5:2:1:11
191,2:3:1:1;4:5:1:16;10:1:1:2;7:4:1:22;1:0:1:27
192,3:2:0:30;6:3:0:12;5:5:0:32;2:1:0:18;4:4:0:3
193,10:0:0:21;7:2:1:34;1:3:1:8;3:5:1:17;6:1:1:5
194,5:4:1:19;2:0:1:31;4:2:0:29;10:3:0:14;7:5:0:15
195,1:1:0:33;3:4:0:0;6:0:0:28;5:2:1:13;2:3:1:7
196,4:5:1:23;10:1:1:6;7:4:1:9;1:0:1:24;3:2:0:25
197,6:3:0:10;5:5:0:4;2:1:0:26;4:4:0:20;10:0:0:11
198,7:2:1:1;1:3:1:16;3:5:1:2;6:1:1:22;5:4:1:27
199,2:0:1:30;4:2:0:12;10:3:0:32;7:5:0:18;1:1:0:3
