cycle,stage,syn0r,syn0i,syn1r,syn1i,syn2r,syn2i,found
2243,8,0,0,0,0,1,0,0
2244,8,-1,0,-2,0,-1,-1,0
2245,8,0,-3,0,-2,1,-2,0
2246,8,-6,-5,-6,-5,-5,-5,0
2247,8,-1,-2,-1,-2,-1,-2,0
2248,8,-1,-1,-1,-1,-1,0,0
2249,8,0,-2,0,-2,0,-1,0
2250,8,-4,-3,-3,-2,-5,-2,0
2251,8,0,-1,0,-1,0,0,0
2252,8,-2,-1,-2,-2,-2,-2,0
2253,8,1,-4,0,-4,0,-5,0
2254,8,-8,-5,-7,-5,-7,-4,0
2255,8,-1,-1,-1,-1,-1,0,0
2256,8,-2,0,-2,0,-2,0,0
2257,8,-1,-1,0,-1,-2,-1,0
2258,8,-3,-2,-3,-1,-3,-2,0
2259,8,-1,-1,-1,0,-1,0,0
2260,8,-1,-2,-2,-1,-2,-1,0
2261,8,1,-4,0,-3,0,-2,0
2262,8,-5,-4,-6,-4,-6,-4,0
2263,8,1,-1,0,0,-1,-1,0
2264,8,-2,0,-2,0,-2,0,0
2265,8,-1,-1,-1,-1,-1,-1,0
2266,8,-5,-4,-5,-2,-5,-3,0
2267,8,0,-2,-2,-1,-1,-2,0
2268,8,-1,-1,-2,-1,-1,-1,0
2269,8,2,-5,1,-4,2,-5,0
2270,8,-9,-8,-10,-9,-9,-8,0
2271,8,-1,-1,-2,-2,-2,-1,0
2272,8,-1,0,-2,1,-2,0,0
2273,8,1,-2,0,-1,0,-1,0
2274,8,-4,-3,-4,-2,-4,-3,0
2275,8,0,-1,1,-1,0,-1,0
2276,8,-1,-1,-2,-1,-2,-1,0
2277,8,0,-4,-1,-4,-1,-3,0
2278,8,-6,-4,-6,-4,-7,-3,0
2279,8,0,-2,0,-1,-1,-1,0
2280,8,-1,0,-2,0,-2,-1,0
2281,8,0,-2,-1,-2,-1,-2,0
2282,8,-5,-2,-6,-2,-5,-2,0
2283,8,0,0,-1,-1,-1,-1,0
2284,8,-1,-1,-2,-1,-3,0,0
2285,8,0,-4,0,-4,0,-4,0
2286,8,-7,-5,-6,-5,-6,-6,0
2287,8,-2,0,-2,-1,-1,-1,0
2288,8,-1,-1,0,-1,-1,-1,0
2289,8,0,-3,0,-2,0,-2,0
2290,8,-5,-3,-5,-3,-4,-3,0
2291,8,0,-1,0,0,0,0,0
2292,8,-3,-1,-4,-1,-3,-1,0
2293,8,0,-3,-1,-2,0,-2,0
2294,8,-5,-4,-6,-3,-5,-3,0
2295,8,0,-1,0,0,0,-1,0
2296,8,-2,-2,-1,-1,-2,-1,0
2297,8,0,-3,0,-2,0,-2,0
2298,8,-4,-3,-5,-3,-4,-3,0
2299,8,0,1,0,-1,1,0,0
2300,8,-3,-2,-4,-1,-4,-2,0
2301,8,2,-5,2,-5,1,-6,0
2302,8,-7,-6,-8,-7,-8,-6,0
2303,8,0,-1,-1,-2,-1,-1,0
2304,8,-2,-1,-2,0,-3,0,0
2305,8,-1,-2,-1,-2,-2,-2,0
2306,8,-5,-2,-5,-1,-5,-1,0
2307,8,-1,0,-1,1,-1,0,0
2308,8,-2,-1,-1,0,-1,0,0
2309,8,-1,-3,-1,-2,-2,-2,0
2310,8,-5,-5,-5,-5,-6,-4,0
2311,8,0,0,0,-1,-1,0,0
2312,8,-1,-1,-1,0,-2,0,0
2313,8,1,-3,1,-3,0,-2,0
2314,8,-4,-1,-5,-2,-5,-3,0
2315,8,0,0,0,0,0,-1,0
2316,8,-3,-1,-3,-1,-3,-1,0
2317,8,-1,-3,0,-3,-1,-3,0
2318,8,-7,-4,-8,-4,-7,-4,0
2319,8,-2,0,-2,0,-2,-1,0
2320,8,-2,-2,-2,-1,-2,-1,0
2321,8,-1,-2,-1,-2,-1,-2,0
2322,8,-4,-1,-4,-1,-4,-2,0
2323,8,0,1,1,0,0,0,0
2324,8,-1,-1,-1,0,-2,0,0
2325,8,0,-3,-1,-4,-1,-3,0
2326,8,-6,-3,-6,-4,-5,-3,0
2327,8,-1,0,0,-1,0,-1,0
2328,8,-1,0,-2,-1,-1,-1,0
2329,8,0,-2,-1,-3,-1,-2,0
2330,8,-4,-3,-4,-2,-4,-3,0
2331,8,1,-3,1,-2,2,-1,0
2332,8,-3,-3,-2,-2,-3,-2,0
2333,8,2,-8,2,-7,1,-8,0
2334,8,0,0,0,0,0,0,0
2335,8,0,0,0,0,0,0,0
2336,8,0,0,0,0,0,0,0
2337,8,0,0,0,0,0,0,0
2338,8,0,0,0,0,0,0,0
2339,8,0,0,0,0,0,0,0
2340,8,0,0,0,0,0,0,0
2341,8,0,0,0,0,0,0,0
