trial,sites(stage:symbol:component:bit;...)
80,6:1:0:4;7:4:0:18;3:0:1:25;8:5:1:21;4:2:1:34
81,1:3:1:11;2:1:1:15;5:4:1:7;6:0:0:22;7:5:0:1
82,3:2:0:14;8:3:0:2;4:1:0:17;1:4:0:5;2:0:1:26
83,5:5:1:28;6:2:1:10;7:3:1:16;3:1:1:24;8:4:1:31
84,4:0:0:32;1:5:0:9;2:2:0:3;5:3:0:27;6:1:0:29
85,7:4:0:0;3:0:1:12;8:5:1:20;4:2:1:19;1:3:1:13
86,2:1:1:23;5:4:1:8;6:0:0:33;7:5:0:30;3:2:0:6
87,8:3:0:4;4:1:0:18;1:4:0:25;2:0:1:21;5:5:1:34
88,6:2:1:11;7:3:1:15;3:1:1:7;8:4:1:22;4:0:0:1
89,1:5:0:14;2:2:0:2;5:3:0:17;6:1:0:5;7:4:0:26
90,3:0:1:28;8:5:1:10;4:2:1:16;1:3:1:24;2:1:1:31
91,5:4:1:32;6:0:0:9;7:5:0:3;3:2:0:27;8:3:0:29
92,4:1:0:0;1:4:0:12;2:0:1:20;5:5:1:19;6:2:1:13
93,7:3:1:23;3:1:1:8;8:4:1:33;4:0:0:30;1:5:0:6
94,2:2:0:4;5:3:0:18;6:1:0:25;7:4:0:21;3:0:1:34
95,8:5:1:11;4:2:1:15;1:3:1:7;2:1:1:22;5:4:1:1
96,6:0:0:14;7:5:0:2;3:2:0:17;8:3:0:5;4:1:0:26
97,1:4:0:28;2:0:1:10;5:5:1:16;6:2:1:24;7:3:1:31
98,3:1:1:32;8:4:1:9;4:0:0:3;1:5:0:27;2:2:0:29
99,5:3:0:0;6:1:0:12;7:4:0:20;3:0:1:19;8:5:1:13
100,4:2:1:23;1:3:1:8;2:1:1:33;5:4:1:30;6:0:0:6
101,7:5:0:4;3:2:0:18;8:3:0:25;4:1:0:21;1:4:0:34
102,2:0:1:11;5:5:1:15;6:2:1:7;7:3:1:22;3:1:1:1
103,8:4:1:14;4:0:0:2;1:5:0:17;2:2:0:5;5:3:0:26
104,6:1:0:28;7:4:0:10;3:0:1:16;8:5:1:24;4:2:1:31
105,1:3:1:32;2:1:1:9;5:4:1:3;6:0:0:27;7:5:0:29
106,3:2:0:0;8:3:0:12;4:1:0:20;1:4:0:19;2:0:1:13
107,5:5:1:23;6:2:1:8;7:3:1:33;3:1:1:30;8:4:1:6
108,4:0:0:4;1:5:0:18;2:2:0:25;5:3:0:21;6:1:0:34
109,7:4:0:11;3:0:1:15;8:5:1:7;4:2:1:22;1:3:1:1
110,2:1:1:14;5:4:1:2;6:0:0:17;7:5:0:5;3:2:0:26
111,8:3:0:28;4:1:0:10;1:4:0:16;2:0:1:24;5:5:1:31
112,6:2:1:32;7:3:1:9;3:1:1:3;8:4:1:27;4:0:0:29
113,1:5:0:0;2:2:0:12;5:3:0:20;6:1:0:19;7:4:0:13
114,3:0:1:23;8:5:1:8;4:2:1:33;1:3:1:30;2:1:1:6
115,5:4:1:4;6:0:0:18;7:5:0:25;3:2:0:21;8:3:0:34
116,4:1:0:11;1:4:0:15;2:0:1:7;5:5:1:22;6:2:1:1
117,7:3:1:14;3:1:1:2;8:4:1:17;4:0:0:5;1:5:0:26
118,2:2:0:28;5:3:0:10;6:1:0:16;7:4:0:24;3:0:1:31
119,8:5:1:32;4:2:1:9;1:3:1:3;2:1:1:27;5:4:1:29
120,6:0:0:0;7:5:0:12;3:2:0:20;8:3:0:19;4:1:0:13
121,1:4:0:23;2:0:1:8;5:5:1:33;6:2:1:30;7:3:1:6
122,3:1:1:4;8:4:1:18;4:0:0:25;1:5:0:21;2:2:0:34
123,5:3:0:11;6:1:0:15;7:4:0:7;3:0:1:22;8:5:1:1
124,4:2:1:14;1:3:1:2;2:1:1:17;5:4:1:5;6:0:0:26
125,7:5:0:28;3:2:0:10;8:3:0:16;4:1:0:24;1:4:0:31
126,2:0:1:32;5:5:1:9;6:2:1:3;7:3:1:27;3:1:1:29
127,8:4:1:0;4:0:0:12;1:5:0:20;2:2:0:19;5:3:0:13
128,6:1:0:23;7:4:0:8;3:0:1:33;8:5:1:30;4:2:1:6
129,1:3:1:4;2:1:1:18;5:4:1:25;6:0:0:21;7:5:0:34
130,3:2:0:11;8:3:0:15;4:1:0:7;1:4:0:22;2:0:1:1
131,5:5:1:14;6:2:1:2;7:3:1:17;3:1:1:5;8:4:1:26
132,4:0:0:28;1:5:0:10;2:2:0:16;5:3:0:24;6:1:0:31
133,7:4:0:32;3:0:1:9;8:5:1:3;4:2:1:27;1:3:1:29
134,2:1:1:0;5:4:1:12;6:0:0:20;7:5:0:19;3:2:0:13
135,8:3:0:23;4:1:0:8;1:4:0:33;2:0:1:30;5:5:1:6
136,6:2:1:4;7:3:1:18;3:1:1:25;8:4:1:21;4:0:0:34
137,1:5:0:11;2:2:0:15;5:3:0:7;6:1:0:22;7:4:0:1
138,3:0:1:14;8:5:1:2;4:2:1:17;1:3:1:5;2:1:1:26
139,5:4:1:28;6:0:0:10;7:5:0:16;3:2:0:24;8:3:0:31
140,4:1:0:32;1:4:0:9;2:0:1:3;5:5:1:27;6:2:1:29
141,7:3:1:0;3:1:1:12;8:4:1:20;4:0:0:19;1:5:0:13
142,2:2:0:23;5:3:0:8;6:1:0:33;7:4:0:30;3:0:1:6
143,8:5:1:4;4:2:1:18;1:3:1:25;2:1:1:21;5:4:1:34
144,6:0:0:11;7:5:0:15;3:2:0:7;8:3:0:22;4:1:0:1
145,1:4:0:14;2:0:1:2;5:5:1:17;6:2:1:5;7:3:1:26
146,3:1:1:28;8:4:1:10;4:0:0:16;1:5:0:24;2:2:0:31
147,5:3:0:32;6:1:0:9;7:4:0:3;3:0:1:27;8:5:1:29
148,4:2:1:0;1:3:1:12;2:1:1:20;5:4:1:19;6:0:0:13
149,7:5:0:23;3:2:0:8;8:3:0:33;4:1:0:30;1:4:0:6
150,2:0:1:4;5:5:1:18;6:2:1:25;7:3:1:21;3:1:1:34
151,8:4:1:11;4:0:0:15;1:5:0:7;2:2:0:22;5:3:0:1
152,6:1:0:14;7:4:0:2;3:0:1:17;8:5:1:5;4:2:1:26
153,1:3:1:28;2:1:1:10;5:4:1:16;6:0:0:24;7:5:0:31
154,3:2:0:32;8:3:0:9;4:1:0:3;1:4:0:27;2:0:1:29
155,5:5:1:0;6:2:1:12;7:3:1:20;3:1:1:19;8:4:1:13
156,4:0:0:23;1:5:0:8;2:2:0:33;5:3:0:30;6:1:0:6
157,7:4:0:4;3:0:1:18;8:5:1:25;4:2:1:21;1:3:1:34
158,2:1:1:11;5:4:1:15;6:0:0:7;7:5:0:22;3:2:0:1
159,8:3:0:14;4:1:0:2;1:4:0:17;2:0:1:5;5:5:1:26
160,6:2:1:28;7:3:1:10;3:1:1:16;8:4:1:24;4:0:0:31
161,1:5:0:32;2:2:0:9;5:3:0:3;6:1:0:27;7:4:0:29
162,3:0:1:0;8:5:1:12;4:2:1:20;1:3:1:19;2:1:1:13
163,5:4:1:23;6:0:0:8;7:5:0:33;3:2:0:30;8:3:0:6
164,4:1:0:4;1:4:0:18;2:0:1:25;5:5:1:21;6:2:1:34
165,7:3:1:11;3:1:1:15;8:4:1:7;4:0:0:22;1:5:0:1
166,2:2:0:14;5:3:0:2;6:1:0:17;7:4:0:5;3:0:1:26
167,8:5:1:28;4:2:1:10;1:3:1:16;2:1:1:24;5:4:1:31
168,6:0:0:32;7:5:0:9;3:2:0:3;8:3:0:27;4:1:0:29
169,1:4:0:0;2:0:1:12;5:5:1:20;6:2:1:19;7:3:1:13
170,3:1:1:23;8:4:1:8;4:0:0:33;1:5:0:30;2:2:0:6
171,5:3:0:4;6:1:0:18;7:4:0:25;3:0:1:21;8:5:1:34
172,4:2:1:11;1:3:1:15;2:1:1:7;5:4:1:22;6:0:0:1
173,7:5:0:14;3:2:0:2;8:3:0:17;4:1:0:5;1:4:0:26
174,2:0:1:28;5:5:1:10;6:2:1:16;7:3:1:24;3:1:1:31
175,8:4:1:32;4:0:0:9;1:5:0:3;2:2:0:27;5:3:0:29
176,6:1:0:0;7:4:0:12;3:0:1:20;8:5:1:19;4:2:1:13
177,1:3:1:23;2:1:1:8;5:4:1:33;6:0:0:30;7:5:0:6
178,3:2:0:4;8:3:0:18;4:1:0:25;1:4:0:21;2:0:1:34
179,5:5:1:11;6:2:1:15;7:3:1:7;3:1:1:22;8:4:1:1
180,4:0:0:14;1:5:0:2;2:2:0:17;5:3:0:5;6:1:0:26
181,7:4:0:28;3:0:1:10;8:5:1:16;4:2:1:24;1:3:1:31
182,2:1:1:32;5:4:1:9;6:0:0:3;7:5:0:27;3:2:0:29
183,8:3:0:0;4:1:0:12;1:4:0:20;2:0:1:19;5:5:1:13
184,6:2:1:23;7:3:1:8;3:1:1:33;8:4:1:30;4:0:0:6
185,1:5:0:4;2:2:0:18;5:3:0:25;6:1:0:21;7:4:0:34
186,3:0:1:11;8:5:1:15;4:2:1:7;1:3:1:22;2:1:1:1
187,5:4:1:14;6:0:0:2;7:5:0:17;3:2:0:5;8:3:0:26
188,4:1:0:28;1:4:0:10;2:0:1:16;5:5:1:24;6:2:1:31
189,7:3:1:32;3:1:1:9;8:4:1:3;4:0:0:27;1:5:0:29
190,2:2:0:0;5:3:0:12;6:1:0:20;7:4:0:19;3:0:1:13
191,8:5:1:23;4:2:1:8;1:3:1:33;2:1:1:30;5:4:1:6
192,6:0:0:4;7:5:0:18;3:2:0:25;8:3:0:21;4:1:0:34
193,1:4:0:11;2:0:1:15;5:5:1:7;6:2:1:22;7:3:1:1
194,3:1:1:14;8:4:1:2;4:0:0:17;1:5:0:5;2:2:0:26
195,5:3:0:28;6:1:0:10;7:4:0:16;3:0:1:24;8:5:1:31
196,4:2:1:32;1:3:1:9;2:1:1:3;5:4:1:27;6:0:0:29
197,7:5:0:0;3:2:0:12;8:3:0:20;4:1:0:19;1:4:0:13
198,2:0:1:23;5:5:1:8;6:2:1:33;7:3:1:30;3:1:1:6
199,8:4:1:4;4:0:0:18;1:5:0:25;2:2:0:21;5:3:0:34
