trial,sites(stage:symbol:component:bit;...)
180,3:4:0:21;10:2:0:9;5:5:0:0;4:0:0:10;2:1:0:14;6:3:0:11;1:4:1:26;7:2:1:18
181,3:5:1:27;10:0:1:13;5:1:1:32;4:3:1:31;2:4:0:33;6:2:0:12;1:5:0:22;7:0:0:28
182,3:1:0:23;10:3:0:24;5:4:1:2;4:2:1:30;2:5:1:25;6:0:1:19;1:1:1:29;7:3:1:5
183,3:4:0:4;10:2:0:8;5:5:0:3;4:0:0:17;2:1:0:20;6:3:0:7;1:4:1:15;7:2:1:34
184,3:5:1:6;10:0:1:1;5:1:1:16;4:3:1:21;2:4:0:9;6:2:0:0;1:5:0:10;7:0:0:14
185,3:1:0:11;10:3:0:26;5:4:1:18;4:2:1:27;2:5:1:13;6:0:1:32;1:1:1:31;7:3:1:33
186,3:4:0:12;10:2:0:22;5:5:0:28;4:0:0:23;2:1:0:24;6:3:0:2;1:4:1:30;7:2:1:25
187,3:5:1:19;10:0:1:29;5:1:1:5;4:3:1:4;2:4:0:8;6:2:0:3;1:5:0:17;7:0:0:20
188,3:1:0:7;10:3:0:15;5:4:1:34;4:2:1:6;2:5:1:1;6:0:1:16;1:1:1:21;7:3:1:9
189,3:4:0:0;10:2:0:10;5:5:0:14;4:0:0:11;2:1:0:26;6:3:0:18;1:4:1:27;7:2:1:13
190,3:5:1:32;10:0:1:31;5:1:1:33;4:3:1:12;2:4:0:22;6:2:0:28;1:5:0:23;7:0:0:24
191,3:1:0:2;10:3:0:30;5:4:1:25;4:2:1:19;2:5:1:29;6:0:1:5;1:1:1:4;7:3:1:8
192,3:4:0:3;10:2:0:17;5:5:0:20;4:0:0:7;2:1:0:15;6:3:0:34;1:4:1:6;7:2:1:1
193,3:5:1:16;10:0:1:21;5:1:1:9;4:3:1:0;2:4:0:10;6:2:0:14;1:5:0:11;7:0:0:26
194,3:1:0:18;10:3:0:27;5:4:1:13;4:2:1:32;2:5:1:31;6:0:1:33;1:1:1:12;7:3:1:22
195,3:4:0:28;10:2:0:23;5:5:0:24;4:0:0:2;2:1:0:30;6:3:0:25;1:4:1:19;7:2:1:29
196,3:5:1:5;10:0:1:4;5:1:1:8;4:3:1:3;2:4:0:17;6:2:0:20;1:5:0:7;7:0:0:15
197,3:1:0:34;10:3:0:6;5:4:1:1;4:2:1:16;2:5:1:21;6:0:1:9;1:1:1:0;7:3:1:10
198,3:4:0:14;10:2:0:11;5:5:0:26;4:0:0:18;2:1:0:27;6:3:0:13;1:4:1:32;7:2:1:31
199,3:5:1:33;10:0:1:12;5:1:1:22;4:3:1:28;2:4:0:23;6:2:0:24;1:5:0:2;7:0:0:30
