trial,sites(stage:symbol:component:bit;...)
86,5:4:0:26;3:5:0:32
87,4:2:1:18;1:1:1:11
88,6:0:1:30;2:3:1:16
89,8:4:1:27;7:5:1:3
90,5:2:0:17;3:1:0:5
91,4:0:0:31;1:3:0:23
92,6:4:0:6;2:5:0:34
93,8:2:1:0;7:1:1:7
94,5:0:1:9;3:3:1:13
95,4:4:1:14;1:5:1:12
96,6:2:0:33;2:1:0:29
97,8:0:0:19;7:3:0:4
98,5:4:0:1;3:5:0:20
99,4:2:1:25;1:1:1:15
100,6:0:1:10;2:3:1:22
101,8:4:1:24;7:5:1:28
102,5:2:0:8;3:1:0:2
103,4:0:0:21;1:3:0:26
104,6:4:0:32;2:5:0:18
105,8:2:1:11;7:1:1:30
106,5:0:1:16;3:3:1:27
107,4:4:1:3;1:5:1:17
108,6:2:0:5;2:1:0:31
109,8:0:0:23;7:3:0:6
110,5:4:0:34;3:5:0:0
111,4:2:1:7;1:1:1:9
112,6:0:1:13;2:3:1:14
113,8:4:1:12;7:5:1:33
114,5:2:0:29;3:1:0:19
115,4:0:0:4;1:3:0:1
116,6:4:0:20;2:5:0:25
117,8:2:1:15;7:1:1:10
118,5:0:1:22;3:3:1:24
119,4:4:1:28;1:5:1:8
120,6:2:0:2;2:1:0:21
121,8:0:0:26;7:3:0:32
122,5:4:0:18;3:5:0:11
123,4:2:1:30;1:1:1:16
124,6:0:1:27;2:3:1:3
125,8:4:1:17;7:5:1:5
126,5:2:0:31;3:1:0:23
127,4:0:0:6;1:3:0:34
128,6:4:0:0;2:5:0:7
129,8:2:1:9;7:1:1:13
130,5:0:1:14;3:3:1:12
131,4:4:1:33;1:5:1:29
132,6:2:0:19;2:1:0:4
133,8:0:0:1;7:3:0:20
134,5:4:0:25;3:5:0:15
135,4:2:1:10;1:1:1:22
136,6:0:1:24;2:3:1:28
137,8:4:1:8;7:5:1:2
138,5:2:0:21;3:1:0:26
139,4:0:0:32;1:3:0:18
140,6:4:0:11;2:5:0:30
141,8:2:1:16;7:1:1:27
142,5:0:1:3;3:3:1:17
143,4:4:1:5;1:5:1:31
144,6:2:0:23;2:1:0:6
145,8:0:0:34;7:3:0:0
146,5:4:0:7;3:5:0:9
147,4:2:1:13;1:1:1:14
148,6:0:1:12;2:3:1:33
149,8:4:1:29;7:5:1:19
150,5:2:0:4;3:1:0:1
151,4:0:0:20;1:3:0:25
152,6:4:0:15;2:5:0:10
153,8:2:1:22;7:1:1:24
154,5:0:1:28;3:3:1:8
155,4:4:1:2;1:5:1:21
156,6:2:0:26;2:1:0:32
157,8:0:0:18;7:3:0:11
158,5:4:0:30;3:5:0:16
159,4:2:1:27;1:1:1:3
160,6:0:1:17;2:3:1:5
161,8:4:1:31;7:5:1:23
162,5:2:0:6;3:1:0:34
163,4:0:0:0;1:3:0:7
164,6:4:0:9;2:5:0:13
165,8:2:1:14;7:1:1:12
166,5:0:1:33;3:3:1:29
167,4:4:1:19;1:5:1:4
168,6:2:0:1;2:1:0:20
169,8:0:0:25;7:3:0:15
170,5:4:0:10;3:5:0:22
171,4:2:1:24;1:1:1:28
172,6:0:1:8;2:3:1:2
173,8:4:1:21;7:5:1:26
174,5:2:0:32;3:1:0:18
175,4:0:0:11;1:3:0:30
176,6:4:0:16;2:5:0:27
177,8:2:1:3;7:1:1:17
178,5:0:1:5;3:3:1:31
179,4:4:1:23;1:5:1:6
180,6:2:0:34;2:1:0:0
181,8:0:0:7;7:3:0:9
182,5:4:0:13;3:5:0:14
183,4:2:1:12;1:1:1:33
184,6:0:1:29;2:3:1:19
185,8:4:1:4;7:5:1:1
186,5:2:0:20;3:1:0:25
187,4:0:0:15;1:3:0:10
188,6:4:0:22;2:5:0:24
189,8:2:1:28;7:1:1:8
190,5:0:1:2;3:3:1:21
191,4:4:1:26;1:5:1:32
192,6:2:0:18;2:1:0:11
193,8:0:0:30;7:3:0:16
194,5:4:0:27;3:5:0:3
195,4:2:1:17;1:1:1:5
196,6:0:1:31;2:3:1:23
197,8:4:1:6;7:5:1:34
198,5:2:0:0;3:1:0:7
199,4:0:0:9;1:3:0:13
200,6:4:0:14;2:5:0:12
201,8:2:1:33;7:1:1:29
202,5:0:1:19;3:3:1:4
203,4:4:1:1;1:5:1:20
204,6:2:0:25;2:1:0:15
205,8:0:0:10;7:3:0:22
206,5:4:0:24;3:5:0:28
207,4:2:1:8;1:1:1:2
208,6:0:1:21;2:3:1:26
209,8:4:1:32;7:5:1:18
210,5:2:0:11;3:1:0:30
211,4:0:0:16;1:3:0:27
212,6:4:0:3;2:5:0:17
213,8:2:1:5;7:1:1:31
214,5:0:1:23;3:3:1:6
215,4:4:1:34;1:5:1:0
216,6:2:0:7;2:1:0:9
217,8:0:0:13;7:3:0:14
218,5:4:0:12;3:5:0:33
219,4:2:1:29;1:1:1:19
220,6:0:1:4;2:3:1:1
221,8:4:1:20;7:5:1:25
222,5:2:0:15;3:1:0:10
223,4:0:0:22;1:3:0:24
224,6:4:0:28;2:5:0:8
225,8:2:1:2;7:1:1:21
226,5:0:1:26;3:3:1:32
227,4:4:1:18;1:5:1:11
228,6:2:0:30;2:1:0:16
229,8:0:0:27;7:3:0:3
230,5:4:0:17;3:5:0:5
231,4:2:1:31;1:1:1:23
232,6:0:1:6;2:3:1:34
233,8:4:1:0;7:5:1:7
234,5:2:0:9;3:1:0:13
235,4:0:0:14;1:3:0:12
236,6:4:0:33;2:5:0:29
237,8:2:1:19;7:1:1:4
238,5:0:1:1;3:3:1:20
239,4:4:1:25;1:5:1:15
240,6:2:0:10;2:1:0:22
241,8:0:0:24;7:3:0:28
242,5:4:0:8;3:5:0:2
243,4:2:1:21;1:1:1:26
244,6:0:1:32;2:3:1:18
245,8:4:1:11;7:5:1:30
246,5:2:0:16;3:1:0:27
247,4:0:0:3;1:3:0:17
248,6:4:0:5;2:5:0:31
249,8:2:1:23;7:1:1:6
250,5:0:1:34;3:3:1:0
251,4:4:1:7;1:5:1:9
252,6:2:0:13;2:1:0:14
253,8:0:0:12;7:3:0:33
254,5:4:0:29;3:5:0:19
255,4:2:1:4;1:1:1:1
256,6:0:1:20;2:3:1:25
257,8:4:1:15;7:5:1:10
258,5:2:0:22;3:1:0:24
259,4:0:0:28;1:3:0:8
260,6:4:0:2;2:5:0:21
261,8:2:1:26;7:1:1:32
262,5:0:1:18;3:3:1:11
263,4:4:1:30;1:5:1:16
264,6:2:0:27;2:1:0:3
265,8:0:0:17;7:3:0:5
266,5:4:0:31;3:5:0:23
267,4:2:1:6;1:1:1:34
268,6:0:1:0;2:3:1:7
269,8:4:1:9;7:5:1:13
270,5:2:0:14;3:1:0:12
271,4:0:0:33;1:3:0:29
272,6:4:0:19;2:5:0:4
273,8:2:1:1;7:1:1:20
274,5:0:1:25;3:3:1:15
275,4:4:1:10;1:5:1:22
276,6:2:0:24;2:1:0:28
277,8:0:0:8;7:3:0:2
278,5:4:0:21;3:5:0:26
279,4:2:1:32;1:1:1:18
280,6:0:1:11;2:3:1:30
281,8:4:1:16;7:5:1:27
282,5:2:0:3;3:1:0:17
283,4:0:0:5;1:3:0:31
284,6:4:0:23;2:5:0:6
285,8:2:1:34;7:1:1:0
286,5:0:1:7;3:3:1:9
287,4:4:1:13;1:5:1:14
288,6:2:0:12;2:1:0:33
289,8:0:0:29;7:3:0:19
290,5:4:0:4;3:5:0:1
291,4:2:1:20;1:1:1:25
292,6:0:1:15;2:3:1:10
293,8:4:1:22;7:5:1:24
294,5:2:0:28;3:1:0:8
295,4:0:0:2;1:3:0:21
296,6:4:0:26;2:5:0:32
297,8:2:1:18;7:1:1:11
298,5:0:1:30;3:3:1:16
299,4:4:1:27;1:5:1:3
300,6:2:0:17;2:1:0:5
301,8:0:0:31;7:3:0:23
302,5:4:0:6;3:5:0:34
303,4:2:1:0;1:1:1:7
304,6:0:1:9;2:3:1:13
305,8:4:1:14;7:5:1:12
306,5:2:0:33;3:1:0:29
307,4:0:0:19;1:3:0:4
308,6:4:0:1;2:5:0:20
309,8:2:1:25;7:1:1:15
310,5:0:1:10;3:3:1:22
311,4:4:1:24;1:5:1:28
312,6:2:0:8;2:1:0:2
313,8:0:0:21;7:3:0:26
314,5:4:0:32;3:5:0:18
315,4:2:1:11;1:1:1:30
316,6:0:1:16;2:3:1:27
317,8:4:1:3;7:5:1:17
318,5:2:0:5;3:1:0:31
319,4:0:0:23;1:3:0:6
320,6:4:0:34;2:5:0:0
321,8:2:1:7;7:1:1:9
322,5:0:1:13;3:3:1:14
323,4:4:1:12;1:5:1:33
324,6:2:0:29;2:1:0:19
325,8:0:0:4;7:3:0:1
326,5:4:0:20;3:5:0:25
327,4:2:1:15;1:1:1:10
328,6:0:1:22;2:3:1:24
329,8:4:1:28;7:5:1:8
330,5:2:0:2;3:1:0:21
331,4:0:0:26;1:3:0:32
332,6:4:0:18;2:5:0:11
333,8:2:1:30;7:1:1:16
334,5:0:1:27;3:3:1:3
335,4:4:1:17;1:5:1:5
336,6:2:0:31;2:1:0:23
337,8:0:0:6;7:3:0:34
338,5:4:0:0;3:5:0:7
339,4:2:1:9;1:1:1:13
340,6:0:1:14;2:3:1:12
341,8:4:1:33;7:5:1:29
342,5:2:0:19;3:1:0:4
343,4:0:0:1;1:3:0:20
344,6:4:0:25;2:5:0:15
345,8:2:1:10;7:1:1:22
346,5:0:1:24;3:3:1:28
347,4:4:1:8;1:5:1:2
348,6:2:0:21;2:1:0:26
349,8:0:0:32;7:3:0:18
350,5:4:0:11;3:5:0:30
351,4:2:1:16;1:1:1:27
352,6:0:1:3;2:3:1:17
353,8:4:1:5;7:5:1:31
354,5:2:0:23;3:1:0:6
355,4:0:0:34;1:3:0:0
356,6:4:0:7;2:5:0:9
357,8:2:1:13;7:1:1:14
358,5:0:1:12;3:3:1:33
359,4:4:1:29;1:5:1:19
360,6:2:0:4;2:1:0:1
361,8:0:0:20;7:3:0:25
362,5:4:0:15;3:5:0:10
363,4:2:1:22;1:1:1:24
364,6:0:1:28;2:3:1:8
365,8:4:1:2;7:5:1:21
366,5:2:0:26;3:1:0:32
367,4:0:0:18;1:3:0:11
368,6:4:0:30;2:5:0:16
369,8:2:1:27;7:1:1:3
370,5:0:1:17;3:3:1:5
371,4:4:1:31;1:5:1:23
372,6:2:0:6;2:1:0:34
373,8:0:0:0;7:3:0:7
374,5:4:0:9;3:5:0:13
375,4:2:1:14;1:1:1:12
376,6:0:1:33;2:3:1:29
377,8:4:1:19;7:5:1:4
378,5:2:0:1;3:1:0:20
379,4:0:0:25;1:3:0:15
380,6:4:0:10;2:5:0:22
381,8:2:1:24;7:1:1:28
382,5:0:1:8;3:3:1:2
383,4:4:1:21;1:5:1:26
384,6:2:0:32;2:1:0:18
385,8:0:0:11;7:3:0:30
386,5:4:0:16;3:5:0:27
387,4:2:1:3;1:1:1:17
388,6:0:1:5;2:3:1:31
389,8:4:1:23;7:5:1:6
390,5:2:0:34;3:1:0:0
391,4:0:0:7;1:3:0:9
392,6:4:0:13;2:5:0:14
393,8:2:1:12;7:1:1:33
394,5:0:1:29;3:3:1:19
395,4:4:1:4;1:5:1:1
396,6:2:0:20;2:1:0:25
397,8:0:0:15;7:3:0:10
398,5:4:0:22;3:5:0:24
399,4:2:1:28;1:1:1:8
400,6:0:1:2;2:3:1:21
401,8:4:1:26;7:5:1:32
402,5:2:0:18;3:1:0:11
403,4:0:0:30;1:3:0:16
404,6:4:0:27;2:5:0:3
405,8:2:1:17;7:1:1:5
406,5:0:1:31;3:3:1:23
407,4:4:1:6;1:5:1:34
408,6:2:0:0;2:1:0:7
409,8:0:0:9;7:3:0:13
410,5:4:0:14;3:5:0:12
411,4:2:1:33;1:1:1:29
412,6:0:1:19;2:3:1:4
413,8:4:1:1;7:5:1:20
414,5:2:0:25;3:1:0:15
415,4:0:0:10;1:3:0:22
416,6:4:0:24;2:5:0:28
417,8:2:1:8;7:1:1:2
418,5:0:1:21;3:3:1:26
419,4:4:1:32;1:5:1:18
420,6:2:0:11;2:1:0:30
421,8:0:0:16;7:3:0:27
422,5:4:0:3;3:5:0:17
423,4:2:1:5;1:1:1:31
424,6:0:1:23;2:3:1:6
425,8:4:1:34;7:5:1:0
426,5:2:0:7;3:1:0:9
427,4:0:0:13;1:3:0:14
428,6:4:0:12;2:5:0:33
429,8:2:1:29;7:1:1:19
430,5:0:1:4;3:3:1:1
431,4:4:1:20;1:5:1:25
432,6:2:0:15;2:1:0:10
433,8:0:0:22;7:3:0:24
434,5:4:0:28;3:5:0:8
435,4:2:1:2;1:1:1:21
436,6:0:1:26;2:3:1:32
437,8:4:1:18;7:5:1:11
438,5:2:0:30;3:1:0:16
439,4:0:0:27;1:3:0:3
440,6:4:0:17;2:5:0:5
441,8:2:1:31;7:1:1:23
442,5:0:1:6;3:3:1:34
443,4:4:1:0;1:5:1:7
444,6:2:0:9;2:1:0:13
445,8:0:0:14;7:3:0:12
446,5:4:0:33;3:5:0:29
447,4:2:1:19;1:1:1:4
448,6:0:1:1;2:3:1:20
449,8:4:1:25;7:5:1:15
450,5:2:0:10;3:1:0:22
451,4:0:0:24;1:3:0:28
452,6:4:0:8;2:5:0:2
453,8:2:1:21;7:1:1:26
454,5:0:1:32;3:3:1:18
455,4:4:1:11;1:5:1:30
456,6:2:0:16;2:1:0:27
457,8:0:0:3;7:3:0:17
458,5:4:0:5;3:5:0:31
459,4:2:1:23;1:1:1:6
460,6:0:1:34;2:3:1:0
461,8:4:1:7;7:5:1:9
462,5:2:0:13;3:1:0:14
463,4:0:0:12;1:3:0:33
464,6:4:0:29;2:5:0:19
465,8:2:1:4;7:1:1:1
466,5:0:1:20;3:3:1:25
467,4:4:1:15;1:5:1:10
468,6:2:0:22;2:1:0:24
469,8:0:0:28;7:3:0:8
470,5:4:0:2;3:5:0:21
471,4:2:1:26;1:1:1:32
472,6:0:1:18;2:3:1:11
473,8:4:1:30;7:5:1:16
474,5:2:0:27;3:1:0:3
475,4:0:0:17;1:3:0:5
476,6:4:0:31;2:5:0:23
477,8:2:1:6;7:1:1:34
478,5:0:1:0;3:3:1:7
479,4:4:1:9;1:5:1:13
480,6:2:0:14;2:1:0:12
481,8:0:0:33;7:3:0:29
482,5:4:0:19;3:5:0:4
483,4:2:1:1;1:1:1:20
484,6:0:1:25;2:3:1:15
485,8:4:1:10;7:5:1:22
486,5:2:0:24;3:1:0:28
487,4:0:0:8;1:3:0:2
488,6:4:0:21;2:5:0:26
489,8:2:1:32;7:1:1:18
490,5:0:1:11;3:3:1:30
491,4:4:1:16;1:5:1:27
492,6:2:0:3;2:1:0:17
493,8:0:0:5;7:3:0:31
494,5:4:0:23;3:5:0:6
495,4:2:1:34;1:1:1:0
496,6:0:1:7;2:3:1:9
497,8:4:1:13;7:5:1:14
498,5:2:0:12;3:1:0:33
499,4:0:0:29;1:3:0:19
