trial,sites(stage:symbol:component:bit;...)
30,3:0:0:24;8:2:0:0;2:1:0:18;7:4:0:33;4:5:0:15;1:3:0:1;5:0:1:10;6:2:1:27
31,3:1:1:17;8:4:1:8;2:5:1:19;7:3:1:11;4:0:0:12;1:2:0:28;5:1:0:26;6:4:0:23
32,3:5:0:21;8:3:0:7;2:0:1:34;7:2:1:25;4:1:1:14;1:4:1:32;5:5:1:31;6:3:1:2
33,3:0:0:22;8:2:0:13;2:1:0:3;7:4:0:4;4:5:0:9;1:3:0:6;5:0:1:20;6:2:1:16
34,3:1:1:30;8:4:1:5;2:5:1:29;7:3:1:24;4:0:0:0;1:2:0:18;5:1:0:33;6:4:0:15
35,3:5:0:1;8:3:0:10;2:0:1:27;7:2:1:17;4:1:1:8;1:4:1:19;5:5:1:11;6:3:1:12
36,3:0:0:28;8:2:0:26;2:1:0:23;7:4:0:21;4:5:0:7;1:3:0:34;5:0:1:25;6:2:1:14
37,3:1:1:32;8:4:1:31;2:5:1:2;7:3:1:22;4:0:0:13;1:2:0:3;5:1:0:4;6:4:0:9
38,3:5:0:6;8:3:0:20;2:0:1:16;7:2:1:30;4:1:1:5;1:4:1:29;5:5:1:24;6:3:1:0
39,3:0:0:18;8:2:0:33;2:1:0:15;7:4:0:1;4:5:0:10;1:3:0:27;5:0:1:17;6:2:1:8
40,3:1:1:19;8:4:1:11;2:5:1:12;7:3:1:28;4:0:0:26;1:2:0:23;5:1:0:21;6:4:0:7
41,3:5:0:34;8:3:0:25;2:0:1:14;7:2:1:32;4:1:1:31;1:4:1:2;5:5:1:22;6:3:1:13
42,3:0:0:3;8:2:0:4;2:1:0:9;7:4:0:6;4:5:0:20;1:3:0:16;5:0:1:30;6:2:1:5
43,3:1:1:29;8:4:1:24;2:5:1:0;7:3:1:18;4:0:0:33;1:2:0:15;5:1:0:1;6:4:0:10
44,3:5:0:27;8:3:0:17;2:0:1:8;7:2:1:19;4:1:1:11;1:4:1:12;5:5:1:28;6:3:1:26
45,3:0:0:23;8:2:0:21;2:1:0:7;7:4:0:34;4:5:0:25;1:3:0:14;5:0:1:32;6:2:1:31
46,3:1:1:2;8:4:1:22;2:5:1:13;7:3:1:3;4:0:0:4;1:2:0:9;5:1:0:6;6:4:0:20
47,3:5:0:16;8:3:0:30;2:0:1:5;7:2:1:29;4:1:1:24;1:4:1:0;5:5:1:18;6:3:1:33
48,3:0:0:15;8:2:0:1;2:1:0:10;7:4:0:27;4:5:0:17;1:3:0:8;5:0:1:19;6:2:1:11
49,3:1:1:12;8:4:1:28;2:5:1:26;7:3:1:23;4:0:0:21;1:2:0:7;5:1:0:34;6:4:0:25
50,3:5:0:14;8:3:0:32;2:0:1:31;7:2:1:2;4:1:1:22;1:4:1:13;5:5:1:3;6:3:1:4
51,3:0:0:9;8:2:0:6;2:1:0:20;7:4:0:16;4:5:0:30;1:3:0:5;5:0:1:29;6:2:1:24
52,3:1:1:0;8:4:1:18;2:5:1:33;7:3:1:15;4:0:0:1;1:2:0:10;5:1:0:27;6:4:0:17
53,3:5:0:8;8:3:0:19;2:0:1:11;7:2:1:12;4:1:1:28;1:4:1:26;5:5:1:23;6:3:1:21
54,3:0:0:7;8:2:0:34;2:1:0:25;7:4:0:14;4:5:0:32;1:3:0:31;5:0:1:2;6:2:1:22
55,3:1:1:13;8:4:1:3;2:5:1:4;7:3:1:9;4:0:0:6;1:2:0:20;5:1:0:16;6:4:0:30
56,3:5:0:5;8:3:0:29;2:0:1:24;7:2:1:0;4:1:1:18;1:4:1:33;5:5:1:15;6:3:1:1
57,3:0:0:10;8:2:0:27;2:1:0:17;7:4:0:8;4:5:0:19;1:3:0:11;5:0:1:12;6:2:1:28
58,3:1:1:26;8:4:1:23;2:5:1:21;7:3:1:7;4:0:0:34;1:2:0:25;5:1:0:14;6:4:0:32
59,3:5:0:31;8:3:0:2;2:0:1:22;7:2:1:13;4:1:1:3;1:4:1:4;5:5:1:9;6:3:1:6
60,3:0:0:20;8:2:0:16;2:1:0:30;7:4:0:5;4:5:0:29;1:3:0:24;5:0:1:0;6:2:1:18
61,3:1:1:33;8:4:1:15;2:5:1:1;7:3:1:10;4:0:0:27;1:2:0:17;5:1:0:8;6:4:0:19
62,3:5:0:11;8:3:0:12;2:0:1:28;7:2:1:26;4:1:1:23;1:4:1:21;5:5:1:7;6:3:1:34
63,3:0:0:25;8:2:0:14;2:1:0:32;7:4:0:31;4:5:0:2;1:3:0:22;5:0:1:13;6:2:1:3
64,3:1:1:4;8:4:1:9;2:5:1:6;7:3:1:20;4:0:0:16;1:2:0:30;5:1:0:5;6:4:0:29
65,3:5:0:24;8:3:0:0;2:0:1:18;7:2:1:33;4:1:1:15;1:4:1:1;5:5:1:10;6:3:1:27
66,3:0:0:17;8:2:0:8;2:1:0:19;7:4:0:11;4:5:0:12;1:3:0:28;5:0:1:26;6:2:1:23
67,3:1:1:21;8:4:1:7;2:5:1:34;7:3:1:25;4:0:0:14;1:2:0:32;5:1:0:31;6:4:0:2
68,3:5:0:22;8:3:0:13;2:0:1:3;7:2:1:4;4:1:1:9;1:4:1:6;5:5:1:20;6:3:1:16
69,3:0:0:30;8:2:0:5;2:1:0:29;7:4:0:24;4:5:0:0;1:3:0:18;5:0:1:33;6:2:1:15
70,3:1:1:1;8:4:1:10;2:5:1:27;7:3:1:17;4:0:0:8;1:2:0:19;5:1:0:11;6:4:0:12
71,3:5:0:28;8:3:0:26;2:0:1:23;7:2:1:21;4:1:1:7;1:4:1:34;5:5:1:25;6:3:1:14
72,3:0:0:32;8:2:0:31;2:1:0:2;7:4:0:22;4:5:0:13;1:3:0:3;5:0:1:4;6:2:1:9
73,3:1:1:6;8:4:1:20;2:5:1:16;7:3:1:30;4:0:0:5;1:2:0:29;5:1:0:24;6:4:0:0
74,3:5:0:18;8:3:0:33;2:0:1:15;7:2:1:1;4:1:1:10;1:4:1:27;5:5:1:17;6:3:1:8
75,3:0:0:19;8:2:0:11;2:1:0:12;7:4:0:28;4:5:0:26;1:3:0:23;5:0:1:21;6:2:1:7
76,3:1:1:34;8:4:1:25;2:5:1:14;7:3:1:32;4:0:0:31;1:2:0:2;5:1:0:22;6:4:0:13
77,3:5:0:3;8:3:0:4;2:0:1:9;7:2:1:6;4:1:1:20;1:4:1:16;5:5:1:30;6:3:1:5
78,3:0:0:29;8:2:0:24;2:1:0:0;7:4:0:18;4:5:0:33;1:3:0:15;5:0:1:1;6:2:1:10
79,3:1:1:27;8:4:1:17;2:5:1:8;7:3:1:19;4:0:0:11;1:2:0:12;5:1:0:28;6:4:0:26
80,3:5:0:23;8:3:0:21;2:0:1:7;7:2:1:34;4:1:1:25;1:4:1:14;5:5:1:32;6:3:1:31
81,3:0:0:2;8:2:0:22;2:1:0:13;7:4:0:3;4:5:0:4;1:3:0:9;5:0:1:6;6:2:1:20
82,3:1:1:16;8:4:1:30;2:5:1:5;7:3:1:29;4:0:0:24;1:2:0:0;5:1:0:18;6:4:0:33
83,3:5:0:15;8:3:0:1;2:0:1:10;7:2:1:27;4:1:1:17;1:4:1:8;5:5:1:19;6:3:1:11
84,3:0:0:12;8:2:0:28;2:1:0:26;7:4:0:23;4:5:0:21;1:3:0:7;5:0:1:34;6:2:1:25
85,3:1:1:14;8:4:1:32;2:5:1:31;7:3:1:2;4:0:0:22;1:2:0:13;5:1:0:3;6:4:0:4
86,3:5:0:9;8:3:0:6;2:0:1:20;7:2:1:16;4:1:1:30;1:4:1:5;5:5:1:29;6:3:1:24
87,3:0:0:0;8:2:0:18;2:1:0:33;7:4:0:15;4:5:0:1;1:3:0:10;5:0:1:27;6:2:1:17
88,3:1:1:8;8:4:1:19;2:5:1:11;7:3:1:12;4:0:0:28;1:2:0:26;5:1:0:23;6:4:0:21
89,3:5:0:7;8:3:0:34;2:0:1:25;7:2:1:14;4:1:1:32;1:4:1:31;5:5:1:2;6:3:1:22
90,3:0:0:13;8:2:0:3;2:1:0:4;7:4:0:9;4:5:0:6;1:3:0:20;5:0:1:16;6:2:1:30
91,3:1:1:5;8:4:1:29;2:5:1:24;7:3:1:0;4:0:0:18;1:2:0:33;5:1:0:15;6:4:0:1
92,3:5:0:10;8:3:0:27;2:0:1:17;7:2:1:8;4:1:1:19;1:4:1:11;5:5:1:12;6:3:1:28
93,3:0:0:26;8:2:0:23;2:1:0:21;7:4:0:7;4:5:0:34;1:3:0:25;5:0:1:14;6:2:1:32
94,3:1:1:31;8:4:1:2;2:5:1:22;7:3:1:13;4:0:0:3;1:2:0:4;5:1:0:9;6:4:0:6
95,3:5:0:20;8:3:0:16;2:0:1:30;7:2:1:5;4:1:1:29;1:4:1:24;5:5:1:0;6:3:1:18
96,3:0:0:33;8:2:0:15;2:1:0:1;7:4:0:10;4:5:0:27;1:3:0:17;5:0:1:8;6:2:1:19
97,3:1:1:11;8:4:1:12;2:5:1:28;7:3:1:26;4:0:0:23;1:2:0:21;5:1:0:7;6:4:0:34
98,3:5:0:25;8:3:0:14;2:0:1:32;7:2:1:31;4:1:1:2;1:4:1:22;5:5:1:13;6:3:1:3
99,3:0:0:4;8:2:0:9;2:1:0:6;7:4:0:20;4:5:0:16;1:3:0:30;5:0:1:5;6:2:1:29
100,3:1:1:24;8:4:1:0;2:5:1:18;7:3:1:33;4:0:0:15;1:2:0:1;5:1:0:10;6:4:0:27
101,3:5:0:17;8:3:0:8;2:0:1:19;7:2:1:11;4:1:1:12;1:4:1:28;5:5:1:26;6:3:1:23
102,3:0:0:21;8:2:0:7;2:1:0:34;7:4:0:25;4:5:0:14;1:3:0:32;5:0:1:31;6:2:1:2
103,3:1:1:22;8:4:1:13;2:5:1:3;7:3:1:4;4:0:0:9;1:2:0:6;5:1:0:20;6:4:0:16
104,3:5:0:30;8:3:0:5;2:0:1:29;7:2:1:24;4:1:1:0;1:4:1:18;5:5:1:33;6:3:1:15
105,3:0:0:1;8:2:0:10;2:1:0:27;7:4:0:17;4:5:0:8;1:3:0:19;5:0:1:11;6:2:1:12
106,3:1:1:28;8:4:1:26;2:5:1:23;7:3:1:21;4:0:0:7;1:2:0:34;5:1:0:25;6:4:0:14
107,3:5:0:32;8:3:0:31;2:0:1:2;7:2:1:22;4:1:1:13;1:4:1:3;5:5:1:4;6:3:1:9
108,3:0:0:6;8:2:0:20;2:1:0:16;7:4:0:30;4:5:0:5;1:3:0:29;5:0:1:24;6:2:1:0
109,3:1:1:18;8:4:1:33;2:5:1:15;7:3:1:1;4:0:0:10;1:2:0:27;5:1:0:17;6:4:0:8
110,3:5:0:19;8:3:0:11;2:0:1:12;7:2:1:28;4:1:1:26;1:4:1:23;5:5:1:21;6:3:1:7
111,3:0:0:34;8:2:0:25;2:1:0:14;7:4:0:32;4:5:0:31;1:3:0:2;5:0:1:22;6:2:1:13
112,3:1:1:3;8:4:1:4;2:5:1:9;7:3:1:6;4:0:0:20;1:2:0:16;5:1:0:30;6:4:0:5
113,3:5:0:29;8:3:0:24;2:0:1:0;7:2:1:18;4:1:1:33;1:4:1:15;5:5:1:1;6:3:1:10
114,3:0:0:27;8:2:0:17;2:1:0:8;7:4:0:19;4:5:0:11;1:3:0:12;5:0:1:28;6:2:1:26
115,3:1:1:23;8:4:1:21;2:5:1:7;7:3:1:34;4:0:0:25;1:2:0:14;5:1:0:32;6:4:0:31
116,3:5:0:2;8:3:0:22;2:0:1:13;7:2:1:3;4:1:1:4;1:4:1:9;5:5:1:6;6:3:1:20
117,3:0:0:16;8:2:0:30;2:1:0:5;7:4:0:29;4:5:0:24;1:3:0:0;5:0:1:18;6:2:1:33
118,3:1:1:15;8:4:1:1;2:5:1:10;7:3:1:27;4:0:0:17;1:2:0:8;5:1:0:19;6:4:0:11
119,3:5:0:12;8:3:0:28;2:0:1:26;7:2:1:23;4:1:1:21;1:4:1:7;5:5:1:34;6:3:1:25
120,3:0:0:14;8:2:0:32;2:1:0:31;7:4:0:2;4:5:0:22;1:3:0:13;5:0:1:3;6:2:1:4
121,3:1:1:9;8:4:1:6;2:5:1:20;7:3:1:16;4:0:0:30;1:2:0:5;5:1:0:29;6:4:0:24
122,3:5:0:0;8:3:0:18;2:0:1:33;7:2:1:15;4:1:1:1;1:4:1:10;5:5:1:27;6:3:1:17
123,3:0:0:8;8:2:0:19;2:1:0:11;7:4:0:12;4:5:0:28;1:3:0:26;5:0:1:23;6:2:1:21
124,3:1:1:7;8:4:1:34;2:5:1:25;7:3:1:14;4:0:0:32;1:2:0:31;5:1:0:2;6:4:0:22
125,3:5:0:13;8:3:0:3;2:0:1:4;7:2:1:9;4:1:1:6;1:4:1:20;5:5:1:16;6:3:1:30
126,3:0:0:5;8:2:0:29;2:1:0:24;7:4:0:0;4:5:0:18;1:3:0:33;5:0:1:15;6:2:1:1
127,3:1:1:10;8:4:1:27;2:5:1:17;7:3:1:8;4:0:0:19;1:2:0:11;5:1:0:12;6:4:0:28
128,3:5:0:26;8:3:0:23;2:0:1:21;7:2:1:7;4:1:1:34;1:4:1:25;5:5:1:14;6:3:1:32
129,3:0:0:31;8:2:0:2;2:1:0:22;7:4:0:13;4:5:0:3;1:3:0:4;5:0:1:9;6:2:1:6
130,3:1:1:20;8:4:1:16;2:5:1:30;7:3:1:5;4:0:0:29;1:2:0:24;5:1:0:0;6:4:0:18
131,3:5:0:33;8:3:0:15;2:0:1:1;7:2:1:10;4:1:1:27;1:4:1:17;5:5:1:8;6:3:1:19
132,3:0:0:11;8:2:0:12;2:1:0:28;7:4:0:26;4:5:0:23;1:3:0:21;5:0:1:7;6:2:1:34
133,3:1:1:25;8:4:1:14;2:5:1:32;7:3:1:31;4:0:0:2;1:2:0:22;5:1:0:13;6:4:0:3
134,3:5:0:4;8:3:0:9;2:0:1:6;7:2:1:20;4:1:1:16;1:4:1:30;5:5:1:5;6:3:1:29
135,3:0:0:24;8:2:0:0;2:1:0:18;7:4:0:33;4:5:0:15;1:3:0:1;5:0:1:10;6:2:1:27
136,3:1:1:17;8:4:1:8;2:5:1:19;7:3:1:11;4:0:0:12;1:2:0:28;5:1:0:26;6:4:0:23
137,3:5:0:21;8:3:0:7;2:0:1:34;7:2:1:25;4:1:1:14;1:4:1:32;5:5:1:31;6:3:1:2
138,3:0:0:22;8:2:0:13;2:1:0:3;7:4:0:4;4:5:0:9;1:3:0:6;5:0:1:20;6:2:1:16
139,3:1:1:30;8:4:1:5;2:5:1:29;7:3:1:24;4:0:0:0;1:2:0:18;5:1:0:33;6:4:0:15
140,3:5:0:1;8:3:0:10;2:0:1:27;7:2:1:17;4:1:1:8;1:4:1:19;5:5:1:11;6:3:1:12
141,3:0:0:28;8:2:0:26;2:1:0:23;7:4:0:21;4:5:0:7;1:3:0:34;5:0:1:25;6:2:1:14
142,3:1:1:32;8:4:1:31;2:5:1:2;7:3:1:22;4:0:0:13;1:2:0:3;5:1:0:4;6:4:0:9
143,3:5:0:6;8:3:0:20;2:0:1:16;7:2:1:30;4:1:1:5;1:4:1:29;5:5:1:24;6:3:1:0
144,3:0:0:18;8:2:0:33;2:1:0:15;7:4:0:1;4:5:0:10;1:3:0:27;5:0:1:17;6:2:1:8
145,3:1:1:19;8:4:1:11;2:5:1:12;7:3:1:28;4:0:0:26;1:2:0:23;5:1:0:21;6:4:0:7
146,3:5:0:34;8:3:0:25;2:0:1:14;7:2:1:32;4:1:1:31;1:4:1:2;5:5:1:22;6:3:1:13
147,3:0:0:3;8:2:0:4;2:1:0:9;7:4:0:6;4:5:0:20;1:3:0:16;5:0:1:30;6:2:1:5
148,3:1:1:29;8:4:1:24;2:5:1:0;7:3:1:18;4:0:0:33;1:2:0:15;5:1:0:1;6:4:0:10
149,3:5:0:27;8:3:0:17;2:0:1:8;7:2:1:19;4:1:1:11;1:4:1:12;5:5:1:28;6:3:1:26
150,3:0:0:23;8:2:0:21;2:1:0:7;7:4:0:34;4:5:0:25;1:3:0:14;5:0:1:32;6:2:1:31
151,3:1:1:2;8:4:1:22;2:5:1:13;7:3:1:3;4:0:0:4;1:2:0:9;5:1:0:6;6:4:0:20
152,3:5:0:16;8:3:0:30;2:0:1:5;7:2:1:29;4:1:1:24;1:4:1:0;5:5:1:18;6:3:1:33
153,3:0:0:15;8:2:0:1;2:1:0:10;7:4:0:27;4:5:0:17;1:3:0:8;5:0:1:19;6:2:1:11
154,3:1:1:12;8:4:1:28;2:5:1:26;7:3:1:23;4:0:0:21;1:2:0:7;5:1:0:34;6:4:0:25
155,3:5:0:14;8:3:0:32;2:0:1:31;7:2:1:2;4:1:1:22;1:4:1:13;5:5:1:3;6:3:1:4
156,3:0:0:9;8:2:0:6;2:1:0:20;7:4:0:16;4:5:0:30;1:3:0:5;5:0:1:29;6:2:1:24
157,3:1:1:0;8:4:1:18;2:5:1:33;7:3:1:15;4:0:0:1;1:2:0:10;5:1:0:27;6:4:0:17
158,3:5:0:8;8:3:0:19;2:0:1:11;7:2:1:12;4:1:1:28;1:4:1:26;5:5:1:23;6:3:1:21
159,3:0:0:7;8:2:0:34;2:1:0:25;7:4:0:14;4:5:0:32;1:3:0:31;5:0:1:2;6:2:1:22
160,3:1:1:13;8:4:1:3;2:5:1:4;7:3:1:9;4:0:0:6;1:2:0:20;5:1:0:16;6:4:0:30
161,3:5:0:5;8:3:0:29;2:0:1:24;7:2:1:0;4:1:1:18;1:4:1:33;5:5:1:15;6:3:1:1
162,3:0:0:10;8:2:0:27;2:1:0:17;7:4:0:8;4:5:0:19;1:3:0:11;5:0:1:12;6:2:1:28
163,3:1:1:26;8:4:1:23;2:5:1:21;7:3:1:7;4:0:0:34;1:2:0:25;5:1:0:14;6:4:0:32
164,3:5:0:31;8:3:0:2;2:0:1:22;7:2:1:13;4:1:1:3;1:4:1:4;5:5:1:9;6:3:1:6
165,3:0:0:20;8:2:0:16;2:1:0:30;7:4:0:5;4:5:0:29;1:3:0:24;5:0:1:0;6:2:1:18
166,3:1:1:33;8:4:1:15;2:5:1:1;7:3:1:10;4:0:0:27;1:2:0:17;5:1:0:8;6:4:0:19
167,3:5:0:11;8:3:0:12;2:0:1:28;7:2:1:26;4:1:1:23;1:4:1:21;5:5:1:7;6:3:1:34
168,3:0:0:25;8:2:0:14;2:1:0:32;7:4:0:31;4:5:0:2;1:3:0:22;5:0:1:13;6:2:1:3
169,3:1:1:4;8:4:1:9;2:5:1:6;7:3:1:20;4:0:0:16;1:2:0:30;5:1:0:5;6:4:0:29
170,3:5:0:24;8:3:0:0;2:0:1:18;7:2:1:33;4:1:1:15;1:4:1:1;5:5:1:10;6:3:1:27
171,3:0:0:17;8:2:0:8;2:1:0:19;7:4:0:11;4:5:0:12;1:3:0:28;5:0:1:26;6:2:1:23
172,3:1:1:21;8:4:1:7;2:5:1:34;7:3:1:25;4:0:0:14;1:2:0:32;5:1:0:31;6:4:0:2
173,3:5:0:22;8:3:0:13;2:0:1:3;7:2:1:4;4:1:1:9;1:4:1:6;5:5:1:20;6:3:1:16
174,3:0:0:30;8:2:0:5;2:1:0:29;7:4:0:24;4:5:0:0;1:3:0:18;5:0:1:33;6:2:1:15
175,3:1:1:1;8:4:1:10;2:5:1:27;7:3:1:17;4:0:0:8;1:2:0:19;5:1:0:11;6:4:0:12
176,3:5:0:28;8:3:0:26;2:0:1:23;7:2:1:21;4:1:1:7;1:4:1:34;5:5:1:25;6:3:1:14
177,3:0:0:32;8:2:0:31;2:1:0:2;7:4:0:22;4:5:0:13;1:3:0:3;5:0:1:4;6:2:1:9
178,3:1:1:6;8:4:1:20;2:5:1:16;7:3:1:30;4:0:0:5;1:2:0:29;5:1:0:24;6:4:0:0
179,3:5:0:18;8:3:0:33;2:0:1:15;7:2:1:1;4:1:1:10;1:4:1:27;5:5:1:17;6:3:1:8
180,3:0:0:19;8:2:0:11;2:1:0:12;7:4:0:28;4:5:0:26;1:3:0:23;5:0:1:21;6:2:1:7
181,3:1:1:34;8:4:1:25;2:5:1:14;7:3:1:32;4:0:0:31;1:2:0:2;5:1:0:22;6:4:0:13
182,3:5:0:3;8:3:0:4;2:0:1:9;7:2:1:6;4:1:1:20;1:4:1:16;5:5:1:30;6:3:1:5
183,3:0:0:29;8:2:0:24;2:1:0:0;7:4:0:18;4:5:0:33;1:3:0:15;5:0:1:1;6:2:1:10
184,3:1:1:27;8:4:1:17;2:5:1:8;7:3:1:19;4:0:0:11;1:2:0:12;5:1:0:28;6:4:0:26
185,3:5:0:23;8:3:0:21;2:0:1:7;7:2:1:34;4:1:1:25;1:4:1:14;5:5:1:32;6:3:1:31
186,3:0:0:2;8:2:0:22;2:1:0:13;7:4:0:3;4:5:0:4;1:3:0:9;5:0:1:6;6:2:1:20
187,3:1:1:16;8:4:1:30;2:5:1:5;7:3:1:29;4:0:0:24;1:2:0:0;5:1:0:18;6:4:0:33
188,3:5:0:15;8:3:0:1;2:0:1:10;7:2:1:27;4:1:1:17;1:4:1:8;5:5:1:19;6:3:1:11
189,3:0:0:12;8:2:0:28;2:1:0:26;7:4:0:23;4:5:0:21;1:3:0:7;5:0:1:34;6:2:1:25
190,3:1:1:14;8:4:1:32;2:5:1:31;7:3:1:2;4:0:0:22;1:2:0:13;5:1:0:3;6:4:0:4
191,3:5:0:9;8:3:0:6;2:0:1:20;7:2:1:16;4:1:1:30;1:4:1:5;5:5:1:29;6:3:1:24
192,3:0:0:0;8:2:0:18;2:1:0:33;7:4:0:15;4:5:0:1;1:3:0:10;5:0:1:27;6:2:1:17
193,3:1:1:8;8:4:1:19;2:5:1:11;7:3:1:12;4:0:0:28;1:2:0:26;5:1:0:23;6:4:0:21
194,3:5:0:7;8:3:0:34;2:0:1:25;7:2:1:14;4:1:1:32;1:4:1:31;5:5:1:2;6:3:1:22
195,3:0:0:13;8:2:0:3;2:1:0:4;7:4:0:9;4:5:0:6;1:3:0:20;5:0:1:16;6:2:1:30
196,3:1:1:5;8:4:1:29;2:5:1:24;7:3:1:0;4:0:0:18;1:2:0:33;5:1:0:15;6:4:0:1
197,3:5:0:10;8:3:0:27;2:0:1:17;7:2:1:8;4:1:1:19;1:4:1:11;5:5:1:12;6:3:1:28
198,3:0:0:26;8:2:0:23;2:1:0:21;7:4:0:7;4:5:0:34;1:3:0:25;5:0:1:14;6:2:1:32
199,3:1:1:31;8:4:1:2;2:5:1:22;7:3:1:13;4:0:0:3;1:2:0:4;5:1:0:9;6:4:0:6
